,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Ahri,0,2,,,,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
1,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Yasuo,0,2,,,,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
2,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Aphelios,2,2,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor,TFT_Item_GuinsoosRageblade,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
3,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Thresh,2,3,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
4,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Ashe,4,1,,,,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
5,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Ornn,4,2,TFT11_Item_FatedEmblemItem,TFT_Item_Redemption,TFT_Item_FrozenHeart,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
6,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Syndra,4,2,,,,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
7,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Sett,6,2,TFT_Item_SteraksGage,TFT_Item_UnstableConcoction,TFT_Item_InfinityEdge,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
8,3DqWgaC53eBg1RVIMuKyyx8F5DCM5D7SH3ejYwaguGBNCJb0mHwJg6XnwjH7lVYO4JLImEmgQ9Lu0Q,asia,jp1,challenger,2,TFT11_Hwei,6,1,,,,TFT11_Augment_Slammin,TFT9_Augment_Formation1,TFT10_Augment_InspiringEpitaph
9,QPy05P-u0VikKZc0ZnlZgrguuK22tO_7bdkv1jkyXVZZtDgBU_k_z0ZH_A7WqnNQpeJ97lHSTKEanA,asia,jp1,challenger,8,TFT11_Caitlyn,0,3,TFT_Item_RapidFireCannon,TFT_Item_BFSword,,TFT9_Augment_PumpingUp2,TFT9_Augment_ArmyBuilding,TFT9_Augment_TonsOfStats
10,QPy05P-u0VikKZc0ZnlZgrguuK22tO_7bdkv1jkyXVZZtDgBU_k_z0ZH_A7WqnNQpeJ97lHSTKEanA,asia,jp1,challenger,8,TFT11_ChoGath,0,3,,,,TFT9_Augment_PumpingUp2,TFT9_Augment_ArmyBuilding,TFT9_Augment_TonsOfStats
11,QPy05P-u0VikKZc0ZnlZgrguuK22tO_7bdkv1jkyXVZZtDgBU_k_z0ZH_A7WqnNQpeJ97lHSTKEanA,asia,jp1,challenger,8,TFT11_KogMaw,0,3,TFT_Item_Leviathan,TFT_Item_SpearOfShojin,TFT_Item_HextechGunblade,TFT9_Augment_PumpingUp2,TFT9_Augment_ArmyBuilding,TFT9_Augment_TonsOfStats
12,QPy05P-u0VikKZc0ZnlZgrguuK22tO_7bdkv1jkyXVZZtDgBU_k_z0ZH_A7WqnNQpeJ97lHSTKEanA,asia,jp1,challenger,8,TFT11_Neeko,1,3,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,,TFT9_Augment_PumpingUp2,TFT9_Augment_ArmyBuilding,TFT9_Augment_TonsOfStats
13,QPy05P-u0VikKZc0ZnlZgrguuK22tO_7bdkv1jkyXVZZtDgBU_k_z0ZH_A7WqnNQpeJ97lHSTKEanA,asia,jp1,challenger,8,TFT11_Bard,2,1,,,,TFT9_Augment_PumpingUp2,TFT9_Augment_ArmyBuilding,TFT9_Augment_TonsOfStats
14,QPy05P-u0VikKZc0ZnlZgrguuK22tO_7bdkv1jkyXVZZtDgBU_k_z0ZH_A7WqnNQpeJ97lHSTKEanA,asia,jp1,challenger,8,TFT11_Illaoi,2,2,,,,TFT9_Augment_PumpingUp2,TFT9_Augment_ArmyBuilding,TFT9_Augment_TonsOfStats
15,QPy05P-u0VikKZc0ZnlZgrguuK22tO_7bdkv1jkyXVZZtDgBU_k_z0ZH_A7WqnNQpeJ97lHSTKEanA,asia,jp1,challenger,8,TFT11_TahmKench,2,2,,,,TFT9_Augment_PumpingUp2,TFT9_Augment_ArmyBuilding,TFT9_Augment_TonsOfStats
16,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Riven,1,2,TFT_Item_Quicksilver,,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
17,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Zyra,1,2,,,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
18,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Soraka,2,2,,,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
19,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Galio,4,2,TFT_Item_BrambleVest,TFT_Item_GargoyleStoneplate,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
20,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Ornn,4,2,TFT_Item_GiantsBelt,TFT11_Item_FatedEmblemItem,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
21,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Hwei,6,1,TFT_Item_Morellonomicon,TFT_Item_JeweledGauntlet,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
22,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Azir,6,2,TFT_Item_Leviathan,TFT_Item_ArchangelsStaff,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
23,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Udyr,6,1,,,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
24,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_WuKong,6,1,,,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
25,eB-qucLxQMkoWJyobKr_xz0VtNmbYFUO_gnk_699zoNapr0w8Zj5XSWbEOBcUAo6fqviLioFYlwrkQ,asia,jp1,challenger,5,TFT11_Kayle,9,1,TFT11_Storyweaver3_Support,,,TFT11_Augment_Epoch,TFT9_Augment_Commander_RollingForDays,TFT6_Augment_Diversify2
26,zaXHKRSbSvBGvyUNj4YOnEDCKiMNmYe1qSD12to-aV93zP5MwXe6uSKFY5cQvaoiiYHlsgw1tW1r0Q,asia,jp1,challenger,7,TFT11_Janna,1,2,TFT_Item_Chalice,,,TFT11_Augment_FortuneCrest,TFT6_Augment_TinyTitans,TFT11_Augment_DynamicDuo
27,zaXHKRSbSvBGvyUNj4YOnEDCKiMNmYe1qSD12to-aV93zP5MwXe6uSKFY5cQvaoiiYHlsgw1tW1r0Q,asia,jp1,challenger,7,TFT11_Soraka,2,2,TFT11_Item_FortuneEmblemItem,TFT_Item_SpearOfShojin,TFT_Item_HextechGunblade,TFT11_Augment_FortuneCrest,TFT6_Augment_TinyTitans,TFT11_Augment_DynamicDuo
28,zaXHKRSbSvBGvyUNj4YOnEDCKiMNmYe1qSD12to-aV93zP5MwXe6uSKFY5cQvaoiiYHlsgw1tW1r0Q,asia,jp1,challenger,7,TFT11_Diana,2,2,,,,TFT11_Augment_FortuneCrest,TFT6_Augment_TinyTitans,TFT11_Augment_DynamicDuo
29,zaXHKRSbSvBGvyUNj4YOnEDCKiMNmYe1qSD12to-aV93zP5MwXe6uSKFY5cQvaoiiYHlsgw1tW1r0Q,asia,jp1,challenger,7,TFT11_Ornn,4,1,,,,TFT11_Augment_FortuneCrest,TFT6_Augment_TinyTitans,TFT11_Augment_DynamicDuo
30,zaXHKRSbSvBGvyUNj4YOnEDCKiMNmYe1qSD12to-aV93zP5MwXe6uSKFY5cQvaoiiYHlsgw1tW1r0Q,asia,jp1,challenger,7,TFT11_Sett,6,2,TFT_Item_ThiefsGloves,TFT_Item_SpectralGauntlet,TFT_Item_GuardianAngel,TFT11_Augment_FortuneCrest,TFT6_Augment_TinyTitans,TFT11_Augment_DynamicDuo
