,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Darius,0,3,TFT9_Item_OrnnPrototypeForge,TFT9_Item_OrnnHorizonFocus,TFT4_Item_OrnnMuramana,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
1,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Ahri,0,2,,,,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
2,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Malphite,0,2,,,,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
3,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Yasuo,0,3,TFT_Item_NightHarvester,TFT_Item_Bloodthirster,TFT_Item_DragonsClaw,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
4,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Kindred,1,2,,,,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
5,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Aphelios,2,2,,,,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
6,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Thresh,2,2,TFT_Item_IonicSpark,,,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
7,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Syndra,4,2,TFT_Item_PowerGauntlet,TFT_Item_RapidFireCannon,TFT_Item_JeweledGauntlet,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
8,xJ3sunUPCnYdB6QfuOitcR23JI9nl7RQ6NEBGS7u7KxuLUJDNpzn8Sc43nlmAfHhUkkYjOHS2ObI7g,asia,kr,grandmaster,4,TFT11_Sett,6,1,,,,TFT11_Augment_RainingGold,TFT9_Augment_CapriciousForge,TFT9_Augment_StationarySupport2
9,xNS9U2Mqdyn-hGpI9tn6caF9cNasPI3_cyMesnQCvekcpkal0lAEGjquGr8PFzX16Zr2lY2BtXKf1w,asia,kr,grandmaster,6,TFT11_Sivir,0,1,,,,TFT9_Augment_TwoHealthy,TFT9_Augment_CyberneticBulk2,TFT9_Augment_Formation2
10,xNS9U2Mqdyn-hGpI9tn6caF9cNasPI3_cyMesnQCvekcpkal0lAEGjquGr8PFzX16Zr2lY2BtXKf1w,asia,kr,grandmaster,6,TFT11_Aatrox,1,3,TFT_Item_WarmogsArmor,,,TFT9_Augment_TwoHealthy,TFT9_Augment_CyberneticBulk2,TFT9_Augment_Formation2
11,xNS9U2Mqdyn-hGpI9tn6caF9cNasPI3_cyMesnQCvekcpkal0lAEGjquGr8PFzX16Zr2lY2BtXKf1w,asia,kr,grandmaster,6,TFT11_Riven,1,3,TFT_Item_IonicSpark,,,TFT9_Augment_TwoHealthy,TFT9_Augment_CyberneticBulk2,TFT9_Augment_Formation2
12,xNS9U2Mqdyn-hGpI9tn6caF9cNasPI3_cyMesnQCvekcpkal0lAEGjquGr8PFzX16Zr2lY2BtXKf1w,asia,kr,grandmaster,6,TFT11_Yorick,1,2,TFT_Item_DragonsClaw,,,TFT9_Augment_TwoHealthy,TFT9_Augment_CyberneticBulk2,TFT9_Augment_Formation2
13,xNS9U2Mqdyn-hGpI9tn6caF9cNasPI3_cyMesnQCvekcpkal0lAEGjquGr8PFzX16Zr2lY2BtXKf1w,asia,kr,grandmaster,6,TFT11_Senna,1,3,,,,TFT9_Augment_TwoHealthy,TFT9_Augment_CyberneticBulk2,TFT9_Augment_Formation2
14,xNS9U2Mqdyn-hGpI9tn6caF9cNasPI3_cyMesnQCvekcpkal0lAEGjquGr8PFzX16Zr2lY2BtXKf1w,asia,kr,grandmaster,6,TFT11_Shen,1,2,,,,TFT9_Augment_TwoHealthy,TFT9_Augment_CyberneticBulk2,TFT9_Augment_Formation2
15,xNS9U2Mqdyn-hGpI9tn6caF9cNasPI3_cyMesnQCvekcpkal0lAEGjquGr8PFzX16Zr2lY2BtXKf1w,asia,kr,grandmaster,6,TFT11_Teemo,1,3,TFT_Item_BlueBuff,TFT_Item_RapidFireCannon,TFT_Item_JeweledGauntlet,TFT9_Augment_TwoHealthy,TFT9_Augment_CyberneticBulk2,TFT9_Augment_Formation2
16,z6Rz-rmmI1SjrwwowOSCuehGoVsWMQyIAbwN-r9CW1StVuhrXx1pwqFWnm0UjxpVXMUQYJlvoqhzJA,asia,kr,grandmaster,1,TFT11_Aatrox,1,2,,,,TFT11_Augment_RainingGold,TFT11_Augment_Slammin_Plus,TFT9_Augment_GiftsFromTheFallen
17,z6Rz-rmmI1SjrwwowOSCuehGoVsWMQyIAbwN-r9CW1StVuhrXx1pwqFWnm0UjxpVXMUQYJlvoqhzJA,asia,kr,grandmaster,1,TFT11_Illaoi,2,2,TFT_Item_NegatronCloak,,,TFT11_Augment_RainingGold,TFT11_Augment_Slammin_Plus,TFT9_Augment_GiftsFromTheFallen
18,z6Rz-rmmI1SjrwwowOSCuehGoVsWMQyIAbwN-r9CW1StVuhrXx1pwqFWnm0UjxpVXMUQYJlvoqhzJA,asia,kr,grandmaster,1,TFT11_Soraka,2,1,,,,TFT11_Augment_RainingGold,TFT11_Augment_Slammin_Plus,TFT9_Augment_GiftsFromTheFallen
19,z6Rz-rmmI1SjrwwowOSCuehGoVsWMQyIAbwN-r9CW1StVuhrXx1pwqFWnm0UjxpVXMUQYJlvoqhzJA,asia,kr,grandmaster,1,TFT11_Yone,2,2,,,,TFT11_Augment_RainingGold,TFT11_Augment_Slammin_Plus,TFT9_Augment_GiftsFromTheFallen
20,z6Rz-rmmI1SjrwwowOSCuehGoVsWMQyIAbwN-r9CW1StVuhrXx1pwqFWnm0UjxpVXMUQYJlvoqhzJA,asia,kr,grandmaster,1,TFT11_Morgana,4,2,,,,TFT11_Augment_RainingGold,TFT11_Augment_Slammin_Plus,TFT9_Augment_GiftsFromTheFallen
21,z6Rz-rmmI1SjrwwowOSCuehGoVsWMQyIAbwN-r9CW1StVuhrXx1pwqFWnm0UjxpVXMUQYJlvoqhzJA,asia,kr,grandmaster,1,TFT11_Kayn,4,2,TFT_Item_DragonsClaw,TFT_Item_GuardianAngel,TFT_Item_SpectralGauntlet,TFT11_Augment_RainingGold,TFT11_Augment_Slammin_Plus,TFT9_Augment_GiftsFromTheFallen
22,z6Rz-rmmI1SjrwwowOSCuehGoVsWMQyIAbwN-r9CW1StVuhrXx1pwqFWnm0UjxpVXMUQYJlvoqhzJA,asia,kr,grandmaster,1,TFT11_Sylas,4,3,TFT_Item_TitansResolve,TFT_Item_UnstableConcoction,TFT_Item_TitansResolve,TFT11_Augment_RainingGold,TFT11_Augment_Slammin_Plus,TFT9_Augment_GiftsFromTheFallen
23,z6Rz-rmmI1SjrwwowOSCuehGoVsWMQyIAbwN-r9CW1StVuhrXx1pwqFWnm0UjxpVXMUQYJlvoqhzJA,asia,kr,grandmaster,1,TFT11_Hwei,6,2,TFT_Item_RabadonsDeathcap,TFT_Item_SpearOfShojin,TFT_Item_Morellonomicon,TFT11_Augment_RainingGold,TFT11_Augment_Slammin_Plus,TFT9_Augment_GiftsFromTheFallen
