,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_Malphite,0,3,,,,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
1,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_KhaZix,0,2,TFT11_Item_UmbralEmblemItem,,,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
2,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_Neeko,1,2,TFT_Item_NightHarvester,TFT_Item_WarmogsArmor,,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
3,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_Qiyana,1,2,,,,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
4,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_Soraka,2,2,TFT_Item_AdaptiveHelm,TFT_Item_MadredsBloodrazor,TFT_Item_Morellonomicon,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
5,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_Yone,2,3,TFT_Item_Bloodthirster,TFT_Item_UnstableConcoction,TFT_Item_SteraksGage,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
6,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_Diana,2,2,,,,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
7,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_Kayn,4,2,TFT_Item_TitansResolve,TFT_Item_UnstableConcoction,TFT_Item_SpectralGauntlet,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
8,TZObeCUeXCtPRN8kdtPuB1JK2Y3lZsACbDIlM70lu7kj9LgfngaBOryOUh1HdwgznYuuM3Wq3fm0dA,americas,na1,grandmaster,3,TFT11_Rakan,6,1,,,,TFT9_Augment_WanderingTrainer,TFT11_Augment_TwoforOne,TFT9_Augment_StationarySupport2
9,1TQsigPYdeotMYuvuo85jN2DuzifCp7NAMSz_51vh_ODboJKBT5ALJ8QKiD1rbwnVCwIEEbepNp0QA,americas,na1,grandmaster,4,TFT11_Lux,1,3,TFT_Item_SpearOfShojin,TFT_Item_RabadonsDeathcap,TFT9_Item_OrnnHorizonFocus,TFT7_Augment_LivingForge,TFT10_Augment_TwinTerror2,TFT9_Augment_CapriciousForge
10,1TQsigPYdeotMYuvuo85jN2DuzifCp7NAMSz_51vh_ODboJKBT5ALJ8QKiD1rbwnVCwIEEbepNp0QA,americas,na1,grandmaster,4,TFT11_Lux,1,2,TFT9_Item_OrnnDeathfireGrasp,TFT_Item_Morellonomicon,TFT_Item_SpearOfShojin,TFT7_Augment_LivingForge,TFT10_Augment_TwinTerror2,TFT9_Augment_CapriciousForge
11,1TQsigPYdeotMYuvuo85jN2DuzifCp7NAMSz_51vh_ODboJKBT5ALJ8QKiD1rbwnVCwIEEbepNp0QA,americas,na1,grandmaster,4,TFT11_Amumu,2,2,TFT9_Item_OrnnHullbreaker,TFT_Item_SteraksGage,,TFT7_Augment_LivingForge,TFT10_Augment_TwinTerror2,TFT9_Augment_CapriciousForge
12,1TQsigPYdeotMYuvuo85jN2DuzifCp7NAMSz_51vh_ODboJKBT5ALJ8QKiD1rbwnVCwIEEbepNp0QA,americas,na1,grandmaster,4,TFT11_Amumu,2,2,TFT9_Item_OrnnPrototypeForge,TFT4_Item_OrnnInfinityForce,TFT4_Item_OrnnAnimaVisage,TFT7_Augment_LivingForge,TFT10_Augment_TwinTerror2,TFT9_Augment_CapriciousForge
13,1TQsigPYdeotMYuvuo85jN2DuzifCp7NAMSz_51vh_ODboJKBT5ALJ8QKiD1rbwnVCwIEEbepNp0QA,americas,na1,grandmaster,4,TFT11_Illaoi,2,2,TFT11_Item_PorcelainEmblemItem,TFT_Item_FrozenHeart,TFT_Item_GargoyleStoneplate,TFT7_Augment_LivingForge,TFT10_Augment_TwinTerror2,TFT9_Augment_CapriciousForge
14,1TQsigPYdeotMYuvuo85jN2DuzifCp7NAMSz_51vh_ODboJKBT5ALJ8QKiD1rbwnVCwIEEbepNp0QA,americas,na1,grandmaster,4,TFT11_Illaoi,2,2,TFT_Item_Redemption,TFT_Item_GargoyleStoneplate,TFT_Item_Crownguard,TFT7_Augment_LivingForge,TFT10_Augment_TwinTerror2,TFT9_Augment_CapriciousForge
15,1TQsigPYdeotMYuvuo85jN2DuzifCp7NAMSz_51vh_ODboJKBT5ALJ8QKiD1rbwnVCwIEEbepNp0QA,americas,na1,grandmaster,4,TFT11_Ashe,4,1,,,,TFT7_Augment_LivingForge,TFT10_Augment_TwinTerror2,TFT9_Augment_CapriciousForge
16,1TQsigPYdeotMYuvuo85jN2DuzifCp7NAMSz_51vh_ODboJKBT5ALJ8QKiD1rbwnVCwIEEbepNp0QA,americas,na1,grandmaster,4,TFT11_Udyr,6,1,TFT_Item_IonicSpark,,,TFT7_Augment_LivingForge,TFT10_Augment_TwinTerror2,TFT9_Augment_CapriciousForge
17,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_Sivir,0,2,,,,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
18,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_Riven,1,2,,,,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
19,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_Teemo,1,2,TFT_Item_RapidFireCannon,TFT_Item_SpearOfShojin,,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
20,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_Bard,2,2,,,,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
21,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_TahmKench,2,2,TFT11_Item_ThiefsGlovesSupport,TFT_Item_Shroud,TFT_Item_Chalice,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
22,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_Galio,4,1,TFT4_Item_OrnnAnimaVisage,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
23,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_Kaisa,4,2,TFT_Item_InfinityEdge,TFT4_Item_OrnnTheCollector,TFT_Item_LastWhisper,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
24,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_Sylas,4,2,TFT_Item_AdaptiveHelm,TFT_Item_Crownguard,TFT_Item_IonicSpark,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
25,81evwfIKqU5v_TmpzVCqu_nv3nr4Xmq159BVxS1xHXHQBWjOaJGSgRvQ-QzHBWJbPdLeds-YIFJk5w,americas,na1,grandmaster,8,TFT11_Kayle,9,1,TFT11_Storyweaver3_AS,,,TFT7_Augment_LivingForge,TFT11_Augment_Accomplice,TFT9_Augment_LongDistanceRelationship2
26,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Amumu,2,2,TFT_Item_ChainVest,,,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
27,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Soraka,2,1,TFT_Item_ChainVest,,,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
28,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Diana,2,1,TFT_Item_TearOfTheGoddess,,,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
29,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Morgana,4,2,TFT_Item_Leviathan,TFT_Item_RabadonsDeathcap,TFT_Item_AdaptiveHelm,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
30,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Lissandra,6,2,TFT_Item_ThiefsGloves,TFT_Item_RunaansHurricane,TFT_Item_Quicksilver,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
31,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Hwei,6,2,TFT_Item_StatikkShiv,TFT_Item_Morellonomicon,TFT_Item_SpearOfShojin,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
32,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Azir,6,2,TFT_Item_GuinsoosRageblade,TFT_Item_GuinsoosRageblade,TFT_Item_SpearOfShojin,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
33,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Rakan,6,2,TFT_Item_FrozenHeart,TFT_Item_DragonsClaw,TFT_Item_Redemption,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
34,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_Udyr,6,2,TFT_Item_InfinityEdge,,,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
35,xT9eItxDd9cAU6T8wX7C6qqhpbCvcbYbVKmcMCJl81O16xG-DXEYIHde1WYHAp3RtQ5anpkbQEq1jQ,americas,na1,grandmaster,2,TFT11_WuKong,6,2,TFT_Item_ThiefsGloves,TFT_Item_InfinityEdge,TFT_Item_Bloodthirster,TFT6_Augment_MaxLevel10,TFT9_Augment_HedgeFundPlus,TFT9_Augment_CyberneticBulk2
36,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Sivir,0,1,,,,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
37,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Riven,1,2,,,,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
38,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Soraka,2,2,,,,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
39,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Diana,2,2,,,,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
40,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Morgana,4,2,TFT_Item_BlueBuff,,,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
41,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Galio,4,2,TFT_Item_FrozenHeart,TFT_Item_IonicSpark,,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
42,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Lissandra,6,2,TFT_Item_ThiefsGloves,TFT_Item_RunaansHurricane,TFT_Item_MadredsBloodrazor,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
43,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Hwei,6,2,TFT_Item_SpearOfShojin,TFT_Item_Morellonomicon,TFT_Item_RabadonsDeathcap,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
44,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Xayah,6,2,TFT_Item_LastWhisper,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
45,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_WuKong,6,2,TFT_Item_TitansResolve,TFT_Item_UnstableConcoction,TFT_Item_SteraksGage,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
46,xBF63rd0JoVsq-AYmmqekkDRQW2y9Wz0gi5WI_ubJcQjlnu_12j2l83cfVbDNxGbGT0IRwgsPtZ38g,americas,na1,grandmaster,1,TFT11_Kayle,9,1,TFT11_Storyweaver3_AS,,,TFT9_Augment_HedgeFund,TFT9_Augment_StationarySupport3,TFT6_Augment_Diversify2
47,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_ChoGath,0,2,,,,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
48,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_KogMaw,0,1,,,,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
49,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_Neeko,1,2,,,,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
50,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_Soraka,2,2,TFT_Item_StatikkShiv,TFT_Item_PowerGauntlet,TFT11_Item_MythicEmblemItem,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
51,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_Annie,4,2,TFT_Item_ArchangelsStaff,TFT_Item_NightHarvester,,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
52,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_Lillia,4,2,TFT_Item_ArchangelsStaff,TFT_Item_PowerGauntlet,TFT_Item_BlueBuff,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
53,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_Azir,6,1,TFT_Item_AdaptiveHelm,TFT_Item_Morellonomicon,TFT_Item_HextechGunblade,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
54,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_Udyr,6,1,,,,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
55,aFVjJ6EmdENwEchGR3svLpE98baj1s2zXqmFvvHL00lqJVzSGrag0L90t62-krfm3iyXXQjqd2pjNw,americas,na1,grandmaster,6,TFT11_WuKong,6,1,TFT_Item_Bloodthirster,TFT_Item_SpearOfShojin,,TFT9_Augment_GreaterJeweledLotus,TFT11_Augment_MythicCrown,TFT10_Augment_CrashTestDummies
56,inAcHRoW2u5paBTOYpMCynq87sTLQfxy4oH_lap38v6FLhTUDBq2Pk9HQ4l8lMjjMAaQ6WYatgFPCQ,americas,na1,grandmaster,5,TFT11_Caitlyn,0,2,,,,TFT6_Augment_GachaAddict,TFT11_Augment_TinyButDeadly,TFT9_Augment_NotToday
57,inAcHRoW2u5paBTOYpMCynq87sTLQfxy4oH_lap38v6FLhTUDBq2Pk9HQ4l8lMjjMAaQ6WYatgFPCQ,americas,na1,grandmaster,5,TFT11_Jax,0,2,,,,TFT6_Augment_GachaAddict,TFT11_Augment_TinyButDeadly,TFT9_Augment_NotToday
