,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_Malphite,0,2,,,,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
1,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_KhaZix,0,2,,,,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
2,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_Kindred,1,2,TFT11_Item_HeavenlyEmblemItem,,,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
3,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_Neeko,1,2,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
4,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_Qiyana,1,2,,,,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
5,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_Soraka,2,3,TFT_Item_Leviathan,TFT_Item_Morellonomicon,,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
6,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_Yone,2,3,TFT_Item_TitansResolve,TFT_Item_UnstableConcoction,TFT_Item_Bloodthirster,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
7,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_Kayn,4,2,TFT_Item_GuardianAngel,TFT_Item_Quicksilver,TFT_Item_MadredsBloodrazor,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
8,DHSLB4FSek9NCADuRnr3McLLHHgQkxdrK8OnhILlmkhLBuGr80Gq5HvWLNUB7wTpF4V0t2vf5v-8Qw,sea,oc1,grandmaster,3,TFT11_WuKong,6,1,TFT5_Item_ThiefsGlovesRadiant,TFT5_Item_DeathbladeRadiant,TFT5_Item_SpectralGauntletRadiant,TFT7_Augment_ClutteredMind,TFT11_Augment_HeavenlyCrest,TFT9_Augment_Formation2
9,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_Thresh,2,2,TFT11_Item_HeavenlyEmblemItem,TFT_Item_GargoyleStoneplate,,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
10,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_Soraka,2,2,TFT_Item_MadredsBloodrazor,,,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
11,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_Diana,2,2,TFT_Item_BrambleVest,TFT_Item_GargoyleStoneplate,TFT_Item_DragonsClaw,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
12,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_Lissandra,6,2,TFT_Item_GuardianAngel,TFT_Item_BlueBuff,,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
13,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_Hwei,6,2,TFT4_Item_OrnnMuramana,TFT_Item_SpearOfShojin,TFT_Item_Morellonomicon,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
14,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_Azir,6,1,TFT_Item_StatikkShiv,TFT_Item_Leviathan,TFT_Item_AdaptiveHelm,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
15,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_Rakan,6,2,TFT_Item_ThiefsGloves,TFT_Item_NightHarvester,TFT_Item_SteraksGage,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
16,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_Udyr,6,2,TFT_Item_ThiefsGloves,TFT_Item_JeweledGauntlet,TFT_Item_RunaansHurricane,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
17,d-xzVlNZbO76FROjK_G9R9iqHanpJMw0OLY2ecYtn5IcOMgriywdr95zig5-DuZ1ye5XMyUyW0AFkw,sea,oc1,grandmaster,4,TFT11_WuKong,6,1,,,,TFT9_Augment_BuildingACollectionPlus,TFT8_Augment_SalvageBinPlus,TFT9_Augment_JeweledLotus
