,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,DMk5KAX496TUpgN_K9RyUt1mf0WgyEc2oqjwmYLePoDS4qWT0WyY0VIil20EziaocIixMDqw0-NsQQ,europe,ru,grandmaster,3,TFT11_Ahri,0,2,TFT_Item_MadredsBloodrazor,,,TFT9_Augment_Sleightofhand,TFT9_Augment_BlindingSpeed,TFT6_Augment_TriForce1
1,DMk5KAX496TUpgN_K9RyUt1mf0WgyEc2oqjwmYLePoDS4qWT0WyY0VIil20EziaocIixMDqw0-NsQQ,europe,ru,grandmaster,3,TFT11_Yasuo,0,2,TFT_Item_ThiefsGloves,TFT_Item_RecurveBow,TFT_Item_StatikkShiv,TFT9_Augment_Sleightofhand,TFT9_Augment_BlindingSpeed,TFT6_Augment_TriForce1
2,DMk5KAX496TUpgN_K9RyUt1mf0WgyEc2oqjwmYLePoDS4qWT0WyY0VIil20EziaocIixMDqw0-NsQQ,europe,ru,grandmaster,3,TFT11_Kindred,1,2,TFT_Item_ThiefsGloves,TFT_Item_PowerGauntlet,TFT_Item_FrozenHeart,TFT9_Augment_Sleightofhand,TFT9_Augment_BlindingSpeed,TFT6_Augment_TriForce1
3,DMk5KAX496TUpgN_K9RyUt1mf0WgyEc2oqjwmYLePoDS4qWT0WyY0VIil20EziaocIixMDqw0-NsQQ,europe,ru,grandmaster,3,TFT11_Aphelios,2,3,TFT_Item_RapidFireCannon,TFT_Item_GuinsoosRageblade,TFT_Item_GuinsoosRageblade,TFT9_Augment_Sleightofhand,TFT9_Augment_BlindingSpeed,TFT6_Augment_TriForce1
4,DMk5KAX496TUpgN_K9RyUt1mf0WgyEc2oqjwmYLePoDS4qWT0WyY0VIil20EziaocIixMDqw0-NsQQ,europe,ru,grandmaster,3,TFT11_Thresh,2,3,TFT_Item_LocketOfTheIronSolari,TFT_Item_RedBuff,TFT_Item_DragonsClaw,TFT9_Augment_Sleightofhand,TFT9_Augment_BlindingSpeed,TFT6_Augment_TriForce1
5,DMk5KAX496TUpgN_K9RyUt1mf0WgyEc2oqjwmYLePoDS4qWT0WyY0VIil20EziaocIixMDqw0-NsQQ,europe,ru,grandmaster,3,TFT11_Ornn,4,2,TFT_Item_ThiefsGloves,TFT_Item_TitansResolve,TFT_Item_ArchangelsStaff,TFT9_Augment_Sleightofhand,TFT9_Augment_BlindingSpeed,TFT6_Augment_TriForce1
6,DMk5KAX496TUpgN_K9RyUt1mf0WgyEc2oqjwmYLePoDS4qWT0WyY0VIil20EziaocIixMDqw0-NsQQ,europe,ru,grandmaster,3,TFT11_Syndra,4,2,TFT_Item_ThiefsGloves,TFT_Item_TitansResolve,TFT_Item_ArchangelsStaff,TFT9_Augment_Sleightofhand,TFT9_Augment_BlindingSpeed,TFT6_Augment_TriForce1
7,DMk5KAX496TUpgN_K9RyUt1mf0WgyEc2oqjwmYLePoDS4qWT0WyY0VIil20EziaocIixMDqw0-NsQQ,europe,ru,grandmaster,3,TFT11_Hwei,6,1,TFT_Item_SpearOfShojin,TFT_Item_MadredsBloodrazor,TFT_Item_RabadonsDeathcap,TFT9_Augment_Sleightofhand,TFT9_Augment_BlindingSpeed,TFT6_Augment_TriForce1
8,3IM8ej_I8uAls97IbVq3SRWT8wJNsa61f8PFMMUTlJt9S31vClGu2-Jvqi8Z7-Nad_a3aOL1odPLAg,europe,ru,grandmaster,2,TFT11_Sivir,0,2,TFT_Item_NegatronCloak,,,TFT11_Augment_InkshadowCrest,TFT9_Augment_CyberneticBulk3,TFT9_Augment_Commander_RollingForDays
9,3IM8ej_I8uAls97IbVq3SRWT8wJNsa61f8PFMMUTlJt9S31vClGu2-Jvqi8Z7-Nad_a3aOL1odPLAg,europe,ru,grandmaster,2,TFT11_Jax,0,2,TFT4_Item_OrnnRanduinsSanctum,,,TFT11_Augment_InkshadowCrest,TFT9_Augment_CyberneticBulk3,TFT9_Augment_Commander_RollingForDays
