,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_KogMaw,0,2,TFT_Item_Leviathan,,,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
1,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_ChoGath,0,2,TFT_Item_SupportKnightsVow,TFT_Item_SupportKnightsVow,,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
2,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_Neeko,1,2,TFT_Item_RedBuff,,,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
3,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_TahmKench,2,2,TFT_Item_GargoyleStoneplate,TFT_Item_RedBuff,,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
4,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_Aphelios,2,2,,,,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
5,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_Bard,2,3,TFT_Item_Deathblade,TFT11_Item_SniperEmblemItem,TFT_Item_GuinsoosRageblade,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
6,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_Nautilus,4,1,,,,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
7,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_Ashe,4,1,TFT11_Item_MythicEmblemItem,TFT_Item_MadredsBloodrazor,TFT_Item_Quicksilver,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
8,TjvNngzfAwzmUGVhvzdUJ_1-PnZnpHXmZZ-WLfUpM1-OqXQTDIcWfQqTKuSUbza_7fTWM28VrKcyNQ,americas,br1,challenger,8,TFT11_Sett,6,1,,,,TFT9_Augment_OneTwosThree,TFT9_Augment_SupportCache,TFT11_Augment_SniperCrest
9,SdVEaXA73AEame_QJwc6KmrpL1VdTzoay4ojvRZ4qk86gEeaHuDcT8L8xYQypx4wYicKVBbR3EBrQw,americas,br1,challenger,4,TFT11_ChoGath,0,2,TFT_Item_NightHarvester,TFT_Item_IonicSpark,TFT_Item_RedBuff,TFT6_Augment_ItemGrabBag1,TFT9_Augment_JeweledLotus,TFT11_Augment_MythicCrest
