,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Sivir,0,2,,,,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
1,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Aatrox,1,2,,,,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
2,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Riven,1,2,,,,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
3,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Zyra,1,2,TFT_Item_Morellonomicon,,,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
4,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Galio,4,2,TFT_Item_DragonsClaw,TFT_Item_Redemption,,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
5,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Kaisa,4,2,TFT_Item_RapidFireCannon,TFT_Item_LastWhisper,TFT_Item_SpearOfShojin,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
6,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Sylas,4,1,TFT_Item_IonicSpark,TFT_Item_ChainVest,,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
7,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Irelia,6,1,TFT_Item_LastWhisper,,,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
8,10m6QuDIVjYcNe_T_UCyI-mPC4hjXh_E8cVBVagHyyZUWRaxJ3_P1_Z48jH-1Otj66y_-z040wyWmg,europe,eun1,PLATINUM,7,TFT11_Kayle,9,2,TFT11_Storyweaver5_AS,TFT11_Storyweaver3_AS,,TFT11_Augment_SharingIsCaring,TFT11_Augment_Slammin_Plus,TFT6_Augment_CyberneticUplink2
9,De3VGPqY0NcH4vbEj3HHpjR7UFscUX7nZvlK5AtGlQc8djT_0qpxzGYl3yBtAYq0NPi57R_e9YIMCQ,europe,eun1,PLATINUM,5,TFT11_ChoGath,0,2,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,,TFT9_Augment_SilverSpoon,TFT9_Augment_YouHaveMySword,TFT9_Augment_BigGrabBag
