,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Senna,1,2,,,,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
1,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Amumu,2,2,TFT_Item_GargoyleStoneplate,TFT_Item_RedBuff,TFT_Item_NightHarvester,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
2,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Illaoi,2,2,TFT_Item_Redemption,,,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
3,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Ashe,4,2,TFT_Item_MadredsBloodrazor,TFT_Item_Deathblade,TFT_Item_GuinsoosRageblade,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
4,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Ornn,4,2,,,,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
5,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Nautilus,4,2,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,TFT_Item_SpectralGauntlet,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
6,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Sett,6,1,TFT11_Item_PorcelainEmblemItem,TFT_Item_Shroud,,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
7,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Lissandra,6,2,TFT_Item_AdaptiveHelm,TFT_Item_MadredsBloodrazor,TFT_Item_Chalice,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
8,IwuPhsfjxJm4M78ExurLOAYInlQ5WjvAlJslQLEXuGoOICxU1V1H6Kp1Ae9a2jBTw3szjFG7cW43YA,americas,la2,PLATINUM,4,TFT11_Udyr,6,1,,,,TFT11_Augment_AtWhatCost,TFT9_Augment_Formation2,TFT9_Augment_ImpenetrableBulwark
9,qt0hIkhmhVXEywEr1IbTh8FYQj2FuM6HPWtQOr9425f1ksxAnmb1eyUqTaGpDBZGe65NxF2rTv8lEQ,americas,la2,PLATINUM,7,TFT11_Senna,1,1,,,,TFT11_Augment_AtWhatCost,TFT6_Augment_Keepers2,TFT11_Augment_SniperCrown
10,qt0hIkhmhVXEywEr1IbTh8FYQj2FuM6HPWtQOr9425f1ksxAnmb1eyUqTaGpDBZGe65NxF2rTv8lEQ,americas,la2,PLATINUM,7,TFT11_Amumu,2,2,,,,TFT11_Augment_AtWhatCost,TFT6_Augment_Keepers2,TFT11_Augment_SniperCrown
11,qt0hIkhmhVXEywEr1IbTh8FYQj2FuM6HPWtQOr9425f1ksxAnmb1eyUqTaGpDBZGe65NxF2rTv8lEQ,americas,la2,PLATINUM,7,TFT11_Aphelios,2,3,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT_Item_Deathblade,TFT11_Augment_AtWhatCost,TFT6_Augment_Keepers2,TFT11_Augment_SniperCrown
12,qt0hIkhmhVXEywEr1IbTh8FYQj2FuM6HPWtQOr9425f1ksxAnmb1eyUqTaGpDBZGe65NxF2rTv8lEQ,americas,la2,PLATINUM,7,TFT11_Thresh,2,2,,,,TFT11_Augment_AtWhatCost,TFT6_Augment_Keepers2,TFT11_Augment_SniperCrown
