,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,L3XHvdKlWVZsfswKAEb1vStdpt4_2bC4R2iSPdxPMY_S3jRNnuK6Z5z9g3Sd_XSmlX4a6e9CQdyrPw,americas,br1,PLATINUM,5,TFT11_Darius,0,3,,,,TFT9_Augment_StarsAreBorn,TFT6_Augment_GachaAddict,TFT9_Augment_LongDistanceRelationship2
1,L3XHvdKlWVZsfswKAEb1vStdpt4_2bC4R2iSPdxPMY_S3jRNnuK6Z5z9g3Sd_XSmlX4a6e9CQdyrPw,americas,br1,PLATINUM,5,TFT11_Ahri,0,3,TFT_Item_Leviathan,TFT_Item_JeweledGauntlet,TFT_Item_GuinsoosRageblade,TFT9_Augment_StarsAreBorn,TFT6_Augment_GachaAddict,TFT9_Augment_LongDistanceRelationship2
2,L3XHvdKlWVZsfswKAEb1vStdpt4_2bC4R2iSPdxPMY_S3jRNnuK6Z5z9g3Sd_XSmlX4a6e9CQdyrPw,americas,br1,PLATINUM,5,TFT11_Yasuo,0,3,TFT_Item_GargoyleStoneplate,TFT_Item_IonicSpark,TFT_Item_RedBuff,TFT9_Augment_StarsAreBorn,TFT6_Augment_GachaAddict,TFT9_Augment_LongDistanceRelationship2
3,L3XHvdKlWVZsfswKAEb1vStdpt4_2bC4R2iSPdxPMY_S3jRNnuK6Z5z9g3Sd_XSmlX4a6e9CQdyrPw,americas,br1,PLATINUM,5,TFT11_Kindred,1,2,,,,TFT9_Augment_StarsAreBorn,TFT6_Augment_GachaAddict,TFT9_Augment_LongDistanceRelationship2
4,L3XHvdKlWVZsfswKAEb1vStdpt4_2bC4R2iSPdxPMY_S3jRNnuK6Z5z9g3Sd_XSmlX4a6e9CQdyrPw,americas,br1,PLATINUM,5,TFT11_Aphelios,2,2,,,,TFT9_Augment_StarsAreBorn,TFT6_Augment_GachaAddict,TFT9_Augment_LongDistanceRelationship2
5,L3XHvdKlWVZsfswKAEb1vStdpt4_2bC4R2iSPdxPMY_S3jRNnuK6Z5z9g3Sd_XSmlX4a6e9CQdyrPw,americas,br1,PLATINUM,5,TFT11_Thresh,2,2,,,,TFT9_Augment_StarsAreBorn,TFT6_Augment_GachaAddict,TFT9_Augment_LongDistanceRelationship2
6,L3XHvdKlWVZsfswKAEb1vStdpt4_2bC4R2iSPdxPMY_S3jRNnuK6Z5z9g3Sd_XSmlX4a6e9CQdyrPw,americas,br1,PLATINUM,5,TFT11_Syndra,4,2,,,,TFT9_Augment_StarsAreBorn,TFT6_Augment_GachaAddict,TFT9_Augment_LongDistanceRelationship2
7,L3XHvdKlWVZsfswKAEb1vStdpt4_2bC4R2iSPdxPMY_S3jRNnuK6Z5z9g3Sd_XSmlX4a6e9CQdyrPw,americas,br1,PLATINUM,5,TFT11_Sett,6,1,TFT_Item_Crownguard,,,TFT9_Augment_StarsAreBorn,TFT6_Augment_GachaAddict,TFT9_Augment_LongDistanceRelationship2
8,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Garen,0,2,,,,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
9,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Janna,1,1,,,,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
10,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Riven,1,1,,,,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
11,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Zyra,1,2,,,,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
12,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Diana,2,1,,,,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
13,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Galio,4,2,TFT_Item_AdaptiveHelm,TFT_Item_GargoyleStoneplate,TFT_Item_FrozenHeart,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
14,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_LeeSin,4,1,,,,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
15,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Irelia,6,3,TFT_Item_GuinsoosRageblade,TFT_Item_RapidFireCannon,TFT_Item_InfinityEdge,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
16,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Xayah,6,1,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT_Item_UnstableConcoction,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
17,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_WuKong,6,2,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,TFT_Item_WarmogsArmor,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
18,nTsU9oCABKLYb51EZS4gk47D72cH0FvOg-olHXZeXB2fRb8auJVEJ2tNdRDoqfsgd6yGyT9OobraiA,americas,br1,PLATINUM,1,TFT11_Kayle,9,2,TFT11_Storyweaver5_AP,TFT11_Storyweaver3_Support,,TFT11_Augment_Epoch,TFT9_Augment_ImpenetrableBulwark,TFT9_Augment_YouHaveMyBow
19,Gc7RZR3aEi1RP4dhh4ipTo3yj1PzIgTdLdvdWu5veWPxZ2FtddTz2mclNrmWeovzJ5tC8KtAP18mkQ,americas,br1,PLATINUM,8,TFT11_Neeko,1,2,TFT_Item_StatikkShiv,TFT_Item_InfinityEdge,,TFT11_Augment_Slammin,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
20,Gc7RZR3aEi1RP4dhh4ipTo3yj1PzIgTdLdvdWu5veWPxZ2FtddTz2mclNrmWeovzJ5tC8KtAP18mkQ,americas,br1,PLATINUM,8,TFT11_TahmKench,2,2,,,,TFT11_Augment_Slammin,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
21,Gc7RZR3aEi1RP4dhh4ipTo3yj1PzIgTdLdvdWu5veWPxZ2FtddTz2mclNrmWeovzJ5tC8KtAP18mkQ,americas,br1,PLATINUM,8,TFT11_Annie,4,1,TFT_Item_Redemption,,,TFT11_Augment_Slammin,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
22,Gc7RZR3aEi1RP4dhh4ipTo3yj1PzIgTdLdvdWu5veWPxZ2FtddTz2mclNrmWeovzJ5tC8KtAP18mkQ,americas,br1,PLATINUM,8,TFT11_Annie,4,1,,,,TFT11_Augment_Slammin,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
23,Gc7RZR3aEi1RP4dhh4ipTo3yj1PzIgTdLdvdWu5veWPxZ2FtddTz2mclNrmWeovzJ5tC8KtAP18mkQ,americas,br1,PLATINUM,8,TFT11_Galio,4,1,,,,TFT11_Augment_Slammin,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
24,Gc7RZR3aEi1RP4dhh4ipTo3yj1PzIgTdLdvdWu5veWPxZ2FtddTz2mclNrmWeovzJ5tC8KtAP18mkQ,americas,br1,PLATINUM,8,TFT11_Lillia,4,2,TFT_Item_AdaptiveHelm,TFT_Item_JeweledGauntlet,TFT_Item_RabadonsDeathcap,TFT11_Augment_Slammin,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
25,Gc7RZR3aEi1RP4dhh4ipTo3yj1PzIgTdLdvdWu5veWPxZ2FtddTz2mclNrmWeovzJ5tC8KtAP18mkQ,americas,br1,PLATINUM,8,TFT11_Ornn,4,1,,,,TFT11_Augment_Slammin,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
26,Gc7RZR3aEi1RP4dhh4ipTo3yj1PzIgTdLdvdWu5veWPxZ2FtddTz2mclNrmWeovzJ5tC8KtAP18mkQ,americas,br1,PLATINUM,8,TFT11_Nautilus,4,1,,,,TFT11_Augment_Slammin,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
27,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Aatrox,1,2,,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
28,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Riven,1,1,,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
29,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Zyra,1,1,,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
30,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Illaoi,2,2,,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
31,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Yone,2,1,,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
32,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Morgana,4,2,TFT_Item_Morellonomicon,TFT_Item_ArchangelsStaff,TFT_Item_SpearOfShojin,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
33,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Kayn,4,2,TFT_Item_GuardianAngel,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
34,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Galio,4,2,TFT_Item_GargoyleStoneplate,TFT_Item_NightHarvester,TFT_Item_WarmogsArmor,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
35,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Sylas,4,2,,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
36,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Rakan,6,2,,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
37,tez2jWTNb0q9CV14yWxeKxN07ENhxvZ8-Dxnx-R-hW3aOZrRz0MXG4gJhfqEVQzPCbMWpOKgcIpqlg,americas,br1,PLATINUM,4,TFT11_Kayle,9,1,TFT11_Storyweaver3_Support,,,TFT9_Augment_HealingOrbsII,TFT9_Augment_HedgeFundPlus,TFT11_Augment_Reinfourcement
38,lhs5uWeBJPmSth3ylYsdvLR0ywsNcvSuiNCn0i6VUkh5MTSajLAfM2tJxFlS6JPpmbi--P9rsaFJgQ,americas,br1,PLATINUM,3,TFT11_Aatrox,1,2,,,,TFT9_Augment_GargantuanResolve,TFT11_Augment_UmbralCrown,TFT10_Augment_HeavyHitters
39,lhs5uWeBJPmSth3ylYsdvLR0ywsNcvSuiNCn0i6VUkh5MTSajLAfM2tJxFlS6JPpmbi--P9rsaFJgQ,americas,br1,PLATINUM,3,TFT11_Yorick,1,2,,,,TFT9_Augment_GargantuanResolve,TFT11_Augment_UmbralCrown,TFT10_Augment_HeavyHitters
40,lhs5uWeBJPmSth3ylYsdvLR0ywsNcvSuiNCn0i6VUkh5MTSajLAfM2tJxFlS6JPpmbi--P9rsaFJgQ,americas,br1,PLATINUM,3,TFT11_Alune,2,3,TFT_Item_SteraksGage,TFT_Item_BlueBuff,,TFT9_Augment_GargantuanResolve,TFT11_Augment_UmbralCrown,TFT10_Augment_HeavyHitters
41,lhs5uWeBJPmSth3ylYsdvLR0ywsNcvSuiNCn0i6VUkh5MTSajLAfM2tJxFlS6JPpmbi--P9rsaFJgQ,americas,br1,PLATINUM,3,TFT11_Yone,2,2,TFT_Item_Bloodthirster,TFT_Item_GuinsoosRageblade,TFT_Item_TitansResolve,TFT9_Augment_GargantuanResolve,TFT11_Augment_UmbralCrown,TFT10_Augment_HeavyHitters
42,lhs5uWeBJPmSth3ylYsdvLR0ywsNcvSuiNCn0i6VUkh5MTSajLAfM2tJxFlS6JPpmbi--P9rsaFJgQ,americas,br1,PLATINUM,3,TFT11_Kayn,4,1,TFT11_Item_UmbralEmblemItem,,,TFT9_Augment_GargantuanResolve,TFT11_Augment_UmbralCrown,TFT10_Augment_HeavyHitters
43,lhs5uWeBJPmSth3ylYsdvLR0ywsNcvSuiNCn0i6VUkh5MTSajLAfM2tJxFlS6JPpmbi--P9rsaFJgQ,americas,br1,PLATINUM,3,TFT11_Sylas,4,2,TFT_Item_ThiefsGloves,TFT_Item_Crownguard,TFT_Item_GuinsoosRageblade,TFT9_Augment_GargantuanResolve,TFT11_Augment_UmbralCrown,TFT10_Augment_HeavyHitters
44,lhs5uWeBJPmSth3ylYsdvLR0ywsNcvSuiNCn0i6VUkh5MTSajLAfM2tJxFlS6JPpmbi--P9rsaFJgQ,americas,br1,PLATINUM,3,TFT11_Sett,6,1,TFT_Item_TitansResolve,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT9_Augment_GargantuanResolve,TFT11_Augment_UmbralCrown,TFT10_Augment_HeavyHitters
45,zPIE-DOt1dlfd7ZnqVD0PQVLGnZhkz6xMs_8s5D_twrC452vI-vOckMB4XqJzL41h4EqPVnEzlNPug,americas,br1,PLATINUM,2,TFT11_Janna,1,2,TFT_Item_GuinsoosRageblade,,,TFT6_Augment_PortableForge,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
46,zPIE-DOt1dlfd7ZnqVD0PQVLGnZhkz6xMs_8s5D_twrC452vI-vOckMB4XqJzL41h4EqPVnEzlNPug,americas,br1,PLATINUM,2,TFT11_Riven,1,2,,,,TFT6_Augment_PortableForge,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
47,zPIE-DOt1dlfd7ZnqVD0PQVLGnZhkz6xMs_8s5D_twrC452vI-vOckMB4XqJzL41h4EqPVnEzlNPug,americas,br1,PLATINUM,2,TFT11_Zyra,1,2,,,,TFT6_Augment_PortableForge,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
48,zPIE-DOt1dlfd7ZnqVD0PQVLGnZhkz6xMs_8s5D_twrC452vI-vOckMB4XqJzL41h4EqPVnEzlNPug,americas,br1,PLATINUM,2,TFT11_Soraka,2,1,,,,TFT6_Augment_PortableForge,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
49,zPIE-DOt1dlfd7ZnqVD0PQVLGnZhkz6xMs_8s5D_twrC452vI-vOckMB4XqJzL41h4EqPVnEzlNPug,americas,br1,PLATINUM,2,TFT11_Diana,2,3,TFT_Item_RedBuff,TFT_Item_SpectralGauntlet,,TFT6_Augment_PortableForge,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
50,zPIE-DOt1dlfd7ZnqVD0PQVLGnZhkz6xMs_8s5D_twrC452vI-vOckMB4XqJzL41h4EqPVnEzlNPug,americas,br1,PLATINUM,2,TFT11_Galio,4,1,TFT_Item_GargoyleStoneplate,TFT7_Item_ShimmerscaleMogulsMail,TFT_Item_GargoyleStoneplate,TFT6_Augment_PortableForge,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
51,zPIE-DOt1dlfd7ZnqVD0PQVLGnZhkz6xMs_8s5D_twrC452vI-vOckMB4XqJzL41h4EqPVnEzlNPug,americas,br1,PLATINUM,2,TFT11_LeeSin,4,2,,,,TFT6_Augment_PortableForge,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
52,zPIE-DOt1dlfd7ZnqVD0PQVLGnZhkz6xMs_8s5D_twrC452vI-vOckMB4XqJzL41h4EqPVnEzlNPug,americas,br1,PLATINUM,2,TFT11_Lillia,4,2,,,,TFT6_Augment_PortableForge,TFT6_Augment_ForceOfNature,TFT10_Augment_HeavyHitters
