,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Yorick,1,2,TFT_Item_SpectralGauntlet,TFT_Item_BansheesVeil,TFT_Item_Redemption,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
1,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Alune,2,2,,,,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
2,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Yone,2,3,TFT_Item_Deathblade,TFT_Item_TitansResolve,TFT_Item_Bloodthirster,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
3,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Morgana,4,2,,,,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
4,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Kayn,4,2,TFT_Item_ThiefsGloves,TFT_Item_SpectralGauntlet,TFT_Item_Redemption,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
5,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Galio,4,2,,,,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
6,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Sylas,4,2,TFT_Item_ThiefsGloves,TFT_Item_AdaptiveHelm,TFT_Item_PowerGauntlet,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
7,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Azir,6,1,TFT_Item_Morellonomicon,TFT_Item_HextechGunblade,TFT_Item_SpearOfShojin,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
8,N8gnIibWTg-4kgYg1jWkCUigrJcmsjGgiXJ3_zZF_CDbZadWcVTHqD7Eg06ifD7iI8ja11slVKeucQ,europe,eun1,PLATINUM,2,TFT11_Udyr,6,1,TFT_Item_WarmogsArmor,TFT_Item_BrambleVest,,TFT9_Augment_YouHaveMyBow,TFT9_Augment_TiniestTitanPlus,TFT7_Augment_BandOfThieves1
9,UhNkgBHC7ZZiWtq50hWeJ32-xEFE57jvUeHPyySXzdBE6C4hfljKvt3rIvd2XXTYNXPWr5IgiUEaaA,europe,eun1,PLATINUM,3,TFT11_Sivir,0,1,,,,TFT9_Augment_TwoHealthy,TFT9_Augment_TiniestTitanPlus,TFT9_Augment_CyberneticBulk1
