,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,AI4DO61uCNyANz8FTOSh1slvkpQvSgLYrCeVrehTd-FvJYwCTH0yUqOER_kstVffex4NNGcPXvgupg,europe,euw1,PLATINUM,4,TFT11_Darius,0,3,TFT_Item_ThiefsGloves,TFT_Item_SpectralGauntlet,TFT_Item_GuardianAngel,TFT10_Augment_LearningToSpell,TFT7_Augment_BandOfThieves1,TFT9_Augment_KnowYourEnemy
1,AI4DO61uCNyANz8FTOSh1slvkpQvSgLYrCeVrehTd-FvJYwCTH0yUqOER_kstVffex4NNGcPXvgupg,europe,euw1,PLATINUM,4,TFT11_Ahri,0,3,TFT_Item_SpearOfShojin,TFT_Item_Leviathan,TFT_Item_RabadonsDeathcap,TFT10_Augment_LearningToSpell,TFT7_Augment_BandOfThieves1,TFT9_Augment_KnowYourEnemy
2,AI4DO61uCNyANz8FTOSh1slvkpQvSgLYrCeVrehTd-FvJYwCTH0yUqOER_kstVffex4NNGcPXvgupg,europe,euw1,PLATINUM,4,TFT11_Yasuo,0,3,TFT_Item_NightHarvester,TFT_Item_IonicSpark,TFT_Item_NightHarvester,TFT10_Augment_LearningToSpell,TFT7_Augment_BandOfThieves1,TFT9_Augment_KnowYourEnemy
3,AI4DO61uCNyANz8FTOSh1slvkpQvSgLYrCeVrehTd-FvJYwCTH0yUqOER_kstVffex4NNGcPXvgupg,europe,euw1,PLATINUM,4,TFT11_Kindred,1,2,TFT_Item_ThiefsGloves,TFT_Item_RunaansHurricane,TFT_Item_MadredsBloodrazor,TFT10_Augment_LearningToSpell,TFT7_Augment_BandOfThieves1,TFT9_Augment_KnowYourEnemy
4,AI4DO61uCNyANz8FTOSh1slvkpQvSgLYrCeVrehTd-FvJYwCTH0yUqOER_kstVffex4NNGcPXvgupg,europe,euw1,PLATINUM,4,TFT11_Thresh,2,2,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,TFT_Item_Redemption,TFT10_Augment_LearningToSpell,TFT7_Augment_BandOfThieves1,TFT9_Augment_KnowYourEnemy
5,AI4DO61uCNyANz8FTOSh1slvkpQvSgLYrCeVrehTd-FvJYwCTH0yUqOER_kstVffex4NNGcPXvgupg,europe,euw1,PLATINUM,4,TFT11_Ornn,4,2,TFT_Item_ThiefsGloves,TFT_Item_AdaptiveHelm,TFT_Item_PowerGauntlet,TFT10_Augment_LearningToSpell,TFT7_Augment_BandOfThieves1,TFT9_Augment_KnowYourEnemy
6,AI4DO61uCNyANz8FTOSh1slvkpQvSgLYrCeVrehTd-FvJYwCTH0yUqOER_kstVffex4NNGcPXvgupg,europe,euw1,PLATINUM,4,TFT11_Syndra,4,2,TFT_Item_BlueBuff,TFT_Item_MadredsBloodrazor,TFT_Item_HextechGunblade,TFT10_Augment_LearningToSpell,TFT7_Augment_BandOfThieves1,TFT9_Augment_KnowYourEnemy
7,AI4DO61uCNyANz8FTOSh1slvkpQvSgLYrCeVrehTd-FvJYwCTH0yUqOER_kstVffex4NNGcPXvgupg,europe,euw1,PLATINUM,4,TFT11_Sett,6,1,TFT_Item_TitansResolve,TFT_Item_MadredsBloodrazor,,TFT10_Augment_LearningToSpell,TFT7_Augment_BandOfThieves1,TFT9_Augment_KnowYourEnemy
8,e71zYlgeu4NXk2k19vpRGyvrb3KnifherVexxonr7IfPnHhFvDXPG4UK_uBPhF5lgivmWJCk9X6FrQ,europe,euw1,PLATINUM,6,TFT11_Zyra,1,2,,,,TFT10_Augment_LuckyStreak,TFT9_Augment_Commander_TeamingUp1,TFT9_Augment_JeweledLotus
9,e71zYlgeu4NXk2k19vpRGyvrb3KnifherVexxonr7IfPnHhFvDXPG4UK_uBPhF5lgivmWJCk9X6FrQ,europe,euw1,PLATINUM,6,TFT11_Bard,2,2,,,,TFT10_Augment_LuckyStreak,TFT9_Augment_Commander_TeamingUp1,TFT9_Augment_JeweledLotus
10,e71zYlgeu4NXk2k19vpRGyvrb3KnifherVexxonr7IfPnHhFvDXPG4UK_uBPhF5lgivmWJCk9X6FrQ,europe,euw1,PLATINUM,6,TFT11_TahmKench,2,2,,,,TFT10_Augment_LuckyStreak,TFT9_Augment_Commander_TeamingUp1,TFT9_Augment_JeweledLotus
11,e71zYlgeu4NXk2k19vpRGyvrb3KnifherVexxonr7IfPnHhFvDXPG4UK_uBPhF5lgivmWJCk9X6FrQ,europe,euw1,PLATINUM,6,TFT11_Morgana,4,2,TFT_Item_RabadonsDeathcap,TFT_Item_SpearOfShojin,,TFT10_Augment_LuckyStreak,TFT9_Augment_Commander_TeamingUp1,TFT9_Augment_JeweledLotus
12,e71zYlgeu4NXk2k19vpRGyvrb3KnifherVexxonr7IfPnHhFvDXPG4UK_uBPhF5lgivmWJCk9X6FrQ,europe,euw1,PLATINUM,6,TFT11_Kaisa,4,2,TFT7_Item_ShimmerscaleGamblersBlade,TFT_Item_UnstableConcoction,TFT_Item_RapidFireCannon,TFT10_Augment_LuckyStreak,TFT9_Augment_Commander_TeamingUp1,TFT9_Augment_JeweledLotus
