,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,KMVReyYch3PPhsDG7Fqwm62mWvWV6bm86H4CIKIbK-HOXS6sDTssaHh7F-wt6LRi9eFWqjv6EpxDjw,asia,jp1,PLATINUM,7,TFT11_Caitlyn,0,3,TFT_Item_SpearOfShojin,TFT_Item_InfinityEdge,TFT_Item_LastWhisper,TFT9_Augment_YouHaveMySword,TFT9_Augment_ImpenetrableBulwark,TFT6_Augment_PandorasItems
1,KMVReyYch3PPhsDG7Fqwm62mWvWV6bm86H4CIKIbK-HOXS6sDTssaHh7F-wt6LRi9eFWqjv6EpxDjw,asia,jp1,PLATINUM,7,TFT11_ChoGath,0,2,,,,TFT9_Augment_YouHaveMySword,TFT9_Augment_ImpenetrableBulwark,TFT6_Augment_PandorasItems
2,KMVReyYch3PPhsDG7Fqwm62mWvWV6bm86H4CIKIbK-HOXS6sDTssaHh7F-wt6LRi9eFWqjv6EpxDjw,asia,jp1,PLATINUM,7,TFT11_Malphite,0,2,,,,TFT9_Augment_YouHaveMySword,TFT9_Augment_ImpenetrableBulwark,TFT6_Augment_PandorasItems
3,KMVReyYch3PPhsDG7Fqwm62mWvWV6bm86H4CIKIbK-HOXS6sDTssaHh7F-wt6LRi9eFWqjv6EpxDjw,asia,jp1,PLATINUM,7,TFT11_KogMaw,0,3,TFT_Item_BlueBuff,TFT_Item_Leviathan,TFT_Item_NeedlesslyLargeRod,TFT9_Augment_YouHaveMySword,TFT9_Augment_ImpenetrableBulwark,TFT6_Augment_PandorasItems
4,KMVReyYch3PPhsDG7Fqwm62mWvWV6bm86H4CIKIbK-HOXS6sDTssaHh7F-wt6LRi9eFWqjv6EpxDjw,asia,jp1,PLATINUM,7,TFT11_Neeko,1,2,TFT_Item_GargoyleStoneplate,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,TFT9_Augment_YouHaveMySword,TFT9_Augment_ImpenetrableBulwark,TFT6_Augment_PandorasItems
5,KMVReyYch3PPhsDG7Fqwm62mWvWV6bm86H4CIKIbK-HOXS6sDTssaHh7F-wt6LRi9eFWqjv6EpxDjw,asia,jp1,PLATINUM,7,TFT11_Amumu,2,1,,,,TFT9_Augment_YouHaveMySword,TFT9_Augment_ImpenetrableBulwark,TFT6_Augment_PandorasItems
6,KMVReyYch3PPhsDG7Fqwm62mWvWV6bm86H4CIKIbK-HOXS6sDTssaHh7F-wt6LRi9eFWqjv6EpxDjw,asia,jp1,PLATINUM,7,TFT11_Illaoi,2,2,TFT_Item_WarmogsArmor,,,TFT9_Augment_YouHaveMySword,TFT9_Augment_ImpenetrableBulwark,TFT6_Augment_PandorasItems
7,1Mz1wsHjMEY13w1f_EQRDHPCwcz45S9f_KXz5oZArkax1Qxg03DOI9kvPhC1FArHPmiF981fWW2pvw,asia,jp1,PLATINUM,8,TFT11_Shen,1,1,,,,TFT9_Augment_Martyr,TFT9_Augment_Commander_FinalAscension,TFT6_Augment_TriForce1
8,1Mz1wsHjMEY13w1f_EQRDHPCwcz45S9f_KXz5oZArkax1Qxg03DOI9kvPhC1FArHPmiF981fWW2pvw,asia,jp1,PLATINUM,8,TFT11_Amumu,2,2,,,,TFT9_Augment_Martyr,TFT9_Augment_Commander_FinalAscension,TFT6_Augment_TriForce1
9,1Mz1wsHjMEY13w1f_EQRDHPCwcz45S9f_KXz5oZArkax1Qxg03DOI9kvPhC1FArHPmiF981fWW2pvw,asia,jp1,PLATINUM,8,TFT11_Aphelios,2,2,TFT_Item_Deathblade,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT9_Augment_Martyr,TFT9_Augment_Commander_FinalAscension,TFT6_Augment_TriForce1
