,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Jax,0,2,,,,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
1,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Gnar,1,2,,,,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
2,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Illaoi,2,1,TFT_Item_DragonsClaw,,,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
3,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Kaisa,4,3,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT_Item_UnstableConcoction,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
4,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Ornn,4,2,TFT_Item_WarmogsArmor,TFT_Item_WarmogsArmor,TFT_Item_RedBuff,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
5,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Nautilus,4,2,,,,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
6,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Sett,6,1,TFT_Item_NightHarvester,,,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
7,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Hwei,6,1,TFT_Item_JeweledGauntlet,TFT_Item_BlueBuff,TFT11_Item_InkshadowSnake,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
8,zqEVzPPHCKle0IpOOnltKqk-o8ndhQoGVuqUHX7yQGWvMjO0ChhZCqFkgLqP6xKBhEdZgAEmcErUhQ,asia,kr,PLATINUM,5,TFT11_Udyr,6,2,TFT_Item_PowerGauntlet,TFT_Item_Leviathan,TFT_Item_DragonsClaw,TFT9_Augment_IronAssets,TFT11_Augment_Warden,TFT11_Augment_Reinfourcement
9,JJXuZmirrKhG4JlbP6CW_BEpWGNCtxBXgMUpGH48DAGt5DuCOAeM3ZNwI4GI-OMhqbgfJCAfkoPRuQ,asia,kr,PLATINUM,8,TFT11_Yorick,1,1,,,,TFT9_Augment_BuildingACollection,TFT11_Augment_RainingGoldPlus,TFT11_Augment_Warden
