,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_Malphite,0,1,,,,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
1,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_KhaZix,0,3,TFT_Item_UnstableConcoction,TFT_Item_TitansResolve,TFT_Item_InfinityEdge,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
2,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_Neeko,1,1,,,,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
3,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_Shen,1,2,TFT_Item_WarmogsArmor,TFT_Item_SpectralGauntlet,TFT_Item_RedBuff,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
4,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_Qiyana,1,2,,,,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
5,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_Illaoi,2,2,,,,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
6,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_Soraka,2,2,TFT_Item_ArchangelsStaff,TFT_Item_SpearOfShojin,,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
7,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_Tristana,2,2,TFT_Item_GuinsoosRageblade,TFT_Item_RapidFireCannon,TFT_Item_TitansResolve,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
8,J9VlomPja2fMxWAheh5w3hFDRO_o1M26NDLq-RBsEoSjsTwijbm9bTmh7CvRldhcsxFgPWiX4tZD6A,americas,la2,PLATINUM,4,TFT11_WuKong,6,1,TFT_Item_ThiefsGloves,TFT_Item_Morellonomicon,TFT_Item_IonicSpark,TFT10_Augment_InspiringEpitaph,TFT9_Augment_HedgeFundPlus,TFT7_Augment_BestFriends1
9,I5IKT69GYHGkZ7doRbK2Rlaq05u2YkvQDUDGNSfP0hWiMSKITEpmkzgKHIJr-jUtE3SpG3soNR66dQ,americas,la2,PLATINUM,5,TFT11_Riven,1,2,TFT_Item_NightHarvester,TFT_Item_WarmogsArmor,TFT_Item_DragonsClaw,TFT6_Augment_SalvageBin,TFT9_Augment_RollTheDice,TFT6_Augment_ItemGrabBag1
