,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Aatrox,1,1,,,,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
1,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Yorick,1,2,,,,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
2,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Shen,1,1,,,,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
3,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Alune,2,2,TFT_Item_JeweledGauntlet,TFT_Item_Morellonomicon,TFT_Item_SpearOfShojin,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
4,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Illaoi,2,2,TFT_Item_SpectralGauntlet,,,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
5,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Yone,2,3,TFT_Item_TitansResolve,TFT_Item_GuinsoosRageblade,TFT_Item_HextechGunblade,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
6,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Kayn,4,2,TFT11_Item_UmbralEmblemItem,TFT_Item_HextechGunblade,TFT_Item_TitansResolve,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
7,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Sylas,4,2,TFT_Item_ArchangelsStaff,TFT_Item_FrozenHeart,TFT_Item_WarmogsArmor,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
8,a8aPapVzVynp_aJxjTijlruAWIVHrKt3lb4qDAGaHO6ykCuUD9K6U8LIGrxxqGiWFdSh2QXg_Dqxlw,americas,na1,PLATINUM,3,TFT11_Sett,6,1,,,,TFT9_Augment_CustomerIsAlwaysRight,TFT10_Augment_CrashTestDummies,TFT9_Augment_KnowYourEnemy
9,9HmhtdpWxSjR3qFnrnnALsAWgZfihX4lGvhjOVolJ21d84TR0NjYBx6EDW2G2w0wnvPD2n_PoRAFCg,americas,na1,PLATINUM,8,TFT11_Ahri,0,2,,,,TFT9_Augment_ArmyBuilding,TFT9_Augment_BigGrabBag,TFT9_Augment_Harmacist2
10,9HmhtdpWxSjR3qFnrnnALsAWgZfihX4lGvhjOVolJ21d84TR0NjYBx6EDW2G2w0wnvPD2n_PoRAFCg,americas,na1,PLATINUM,8,TFT11_Malphite,0,3,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,TFT_Item_RedBuff,TFT9_Augment_ArmyBuilding,TFT9_Augment_BigGrabBag,TFT9_Augment_Harmacist2
11,9HmhtdpWxSjR3qFnrnnALsAWgZfihX4lGvhjOVolJ21d84TR0NjYBx6EDW2G2w0wnvPD2n_PoRAFCg,americas,na1,PLATINUM,8,TFT11_KhaZix,0,3,TFT4_Item_OrnnDeathsDefiance,TFT_Item_UnstableConcoction,TFT_Item_MadredsBloodrazor,TFT9_Augment_ArmyBuilding,TFT9_Augment_BigGrabBag,TFT9_Augment_Harmacist2
12,9HmhtdpWxSjR3qFnrnnALsAWgZfihX4lGvhjOVolJ21d84TR0NjYBx6EDW2G2w0wnvPD2n_PoRAFCg,americas,na1,PLATINUM,8,TFT11_Kindred,1,3,TFT_Item_AdaptiveHelm,TFT_Item_BlueBuff,TFT_Item_JeweledGauntlet,TFT9_Augment_ArmyBuilding,TFT9_Augment_BigGrabBag,TFT9_Augment_Harmacist2
13,9HmhtdpWxSjR3qFnrnnALsAWgZfihX4lGvhjOVolJ21d84TR0NjYBx6EDW2G2w0wnvPD2n_PoRAFCg,americas,na1,PLATINUM,8,TFT11_Neeko,1,2,,,,TFT9_Augment_ArmyBuilding,TFT9_Augment_BigGrabBag,TFT9_Augment_Harmacist2
14,9HmhtdpWxSjR3qFnrnnALsAWgZfihX4lGvhjOVolJ21d84TR0NjYBx6EDW2G2w0wnvPD2n_PoRAFCg,americas,na1,PLATINUM,8,TFT11_Qiyana,1,1,,,,TFT9_Augment_ArmyBuilding,TFT9_Augment_BigGrabBag,TFT9_Augment_Harmacist2
15,9HmhtdpWxSjR3qFnrnnALsAWgZfihX4lGvhjOVolJ21d84TR0NjYBx6EDW2G2w0wnvPD2n_PoRAFCg,americas,na1,PLATINUM,8,TFT11_Thresh,2,2,TFT11_Item_DryadEmblemItem,TFT_Item_GargoyleStoneplate,TFT_Item_IonicSpark,TFT9_Augment_ArmyBuilding,TFT9_Augment_BigGrabBag,TFT9_Augment_Harmacist2
16,5-PNSc0FHbitZBPmvGkeXm-BaXqv1F4mnh6dJuqLqmB9z1ALhj-S2ii3hcB2EDLGFUnVNICcey94uA,americas,na1,PLATINUM,1,TFT11_Sivir,0,2,TFT_Item_SparringGloves,,,TFT6_Augment_TriForce1,TFT11_Augment_ScoreboardScrapper,TFT11_Augment_MythicCrest
17,5-PNSc0FHbitZBPmvGkeXm-BaXqv1F4mnh6dJuqLqmB9z1ALhj-S2ii3hcB2EDLGFUnVNICcey94uA,americas,na1,PLATINUM,1,TFT11_Neeko,1,2,TFT11_Item_SageEmblemItem,,,TFT6_Augment_TriForce1,TFT11_Augment_ScoreboardScrapper,TFT11_Augment_MythicCrest
18,5-PNSc0FHbitZBPmvGkeXm-BaXqv1F4mnh6dJuqLqmB9z1ALhj-S2ii3hcB2EDLGFUnVNICcey94uA,americas,na1,PLATINUM,1,TFT11_Riven,1,2,,,,TFT6_Augment_TriForce1,TFT11_Augment_ScoreboardScrapper,TFT11_Augment_MythicCrest
19,5-PNSc0FHbitZBPmvGkeXm-BaXqv1F4mnh6dJuqLqmB9z1ALhj-S2ii3hcB2EDLGFUnVNICcey94uA,americas,na1,PLATINUM,1,TFT11_Bard,2,3,TFT_Item_HextechGunblade,TFT_Item_RapidFireCannon,TFT_Item_GuinsoosRageblade,TFT6_Augment_TriForce1,TFT11_Augment_ScoreboardScrapper,TFT11_Augment_MythicCrest
20,5-PNSc0FHbitZBPmvGkeXm-BaXqv1F4mnh6dJuqLqmB9z1ALhj-S2ii3hcB2EDLGFUnVNICcey94uA,americas,na1,PLATINUM,1,TFT11_Soraka,2,3,,,,TFT6_Augment_TriForce1,TFT11_Augment_ScoreboardScrapper,TFT11_Augment_MythicCrest
21,5-PNSc0FHbitZBPmvGkeXm-BaXqv1F4mnh6dJuqLqmB9z1ALhj-S2ii3hcB2EDLGFUnVNICcey94uA,americas,na1,PLATINUM,1,TFT11_Zoe,2,3,TFT11_Item_HeavenlyEmblemItem,,,TFT6_Augment_TriForce1,TFT11_Augment_ScoreboardScrapper,TFT11_Augment_MythicCrest
22,5-PNSc0FHbitZBPmvGkeXm-BaXqv1F4mnh6dJuqLqmB9z1ALhj-S2ii3hcB2EDLGFUnVNICcey94uA,americas,na1,PLATINUM,1,TFT11_TahmKench,2,2,TFT_Item_NightHarvester,TFT_Item_DragonsClaw,TFT_Item_WarmogsArmor,TFT6_Augment_TriForce1,TFT11_Augment_ScoreboardScrapper,TFT11_Augment_MythicCrest
