,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,mzXYhWnAlwBEyIq-UGZzAAF6OGDOIYZTltsQQszlNg6z874oQBvghgR9QX9NgWblq1lxZA9KfN5Img,sea,oc1,PLATINUM,5,TFT11_RekSai,0,3,,,,TFT9_Augment_GargantuanResolve,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
1,mzXYhWnAlwBEyIq-UGZzAAF6OGDOIYZTltsQQszlNg6z874oQBvghgR9QX9NgWblq1lxZA9KfN5Img,sea,oc1,PLATINUM,5,TFT11_Jax,0,2,,,,TFT9_Augment_GargantuanResolve,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
2,mzXYhWnAlwBEyIq-UGZzAAF6OGDOIYZTltsQQszlNg6z874oQBvghgR9QX9NgWblq1lxZA9KfN5Img,sea,oc1,PLATINUM,5,TFT11_Aatrox,1,3,TFT_Item_Redemption,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,TFT9_Augment_GargantuanResolve,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
3,mzXYhWnAlwBEyIq-UGZzAAF6OGDOIYZTltsQQszlNg6z874oQBvghgR9QX9NgWblq1lxZA9KfN5Img,sea,oc1,PLATINUM,5,TFT11_Senna,1,3,TFT_Item_InfinityEdge,TFT_Item_SpearOfShojin,TFT_Item_GuinsoosRageblade,TFT9_Augment_GargantuanResolve,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
4,mzXYhWnAlwBEyIq-UGZzAAF6OGDOIYZTltsQQszlNg6z874oQBvghgR9QX9NgWblq1lxZA9KfN5Img,sea,oc1,PLATINUM,5,TFT11_Gnar,1,3,TFT_Item_TitansResolve,TFT_Item_TitansResolve,TFT_Item_Bloodthirster,TFT9_Augment_GargantuanResolve,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
5,mzXYhWnAlwBEyIq-UGZzAAF6OGDOIYZTltsQQszlNg6z874oQBvghgR9QX9NgWblq1lxZA9KfN5Img,sea,oc1,PLATINUM,5,TFT11_Amumu,2,2,TFT_Item_NeedlesslyLargeRod,,,TFT9_Augment_GargantuanResolve,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
6,mzXYhWnAlwBEyIq-UGZzAAF6OGDOIYZTltsQQszlNg6z874oQBvghgR9QX9NgWblq1lxZA9KfN5Img,sea,oc1,PLATINUM,5,TFT11_Udyr,6,1,TFT11_Item_InkshadowRat,TFT11_Item_GhostlyEmblemItem,,TFT9_Augment_GargantuanResolve,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
7,XzbKd1l1CA1LfuKaAJJTO0xgOWgRuAUu9vwhPy_wbhbQJhipDNNjrS2PnbKNgHcSI7FDXv9YDtfstw,sea,oc1,PLATINUM,4,TFT11_Janna,1,3,TFT_Item_Leviathan,TFT_Item_StatikkShiv,TFT_Item_RabadonsDeathcap,TFT9_Augment_BuildingACollectionPlus,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
8,XzbKd1l1CA1LfuKaAJJTO0xgOWgRuAUu9vwhPy_wbhbQJhipDNNjrS2PnbKNgHcSI7FDXv9YDtfstw,sea,oc1,PLATINUM,4,TFT11_Riven,1,2,TFT11_Item_HeavenlyEmblemItem,TFT_Item_Redemption,TFT_Item_GargoyleStoneplate,TFT9_Augment_BuildingACollectionPlus,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
9,XzbKd1l1CA1LfuKaAJJTO0xgOWgRuAUu9vwhPy_wbhbQJhipDNNjrS2PnbKNgHcSI7FDXv9YDtfstw,sea,oc1,PLATINUM,4,TFT11_Zyra,1,3,,,,TFT9_Augment_BuildingACollectionPlus,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
10,XzbKd1l1CA1LfuKaAJJTO0xgOWgRuAUu9vwhPy_wbhbQJhipDNNjrS2PnbKNgHcSI7FDXv9YDtfstw,sea,oc1,PLATINUM,4,TFT11_Diana,2,2,TFT_Item_RedBuff,TFT_Item_TitansResolve,TFT_Item_Bloodthirster,TFT9_Augment_BuildingACollectionPlus,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
11,XzbKd1l1CA1LfuKaAJJTO0xgOWgRuAUu9vwhPy_wbhbQJhipDNNjrS2PnbKNgHcSI7FDXv9YDtfstw,sea,oc1,PLATINUM,4,TFT11_Morgana,4,1,,,,TFT9_Augment_BuildingACollectionPlus,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
12,XzbKd1l1CA1LfuKaAJJTO0xgOWgRuAUu9vwhPy_wbhbQJhipDNNjrS2PnbKNgHcSI7FDXv9YDtfstw,sea,oc1,PLATINUM,4,TFT11_LeeSin,4,1,TFT_Item_AdaptiveHelm,,,TFT9_Augment_BuildingACollectionPlus,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
13,XzbKd1l1CA1LfuKaAJJTO0xgOWgRuAUu9vwhPy_wbhbQJhipDNNjrS2PnbKNgHcSI7FDXv9YDtfstw,sea,oc1,PLATINUM,4,TFT11_Lillia,4,2,TFT_Item_HextechGunblade,,,TFT9_Augment_BuildingACollectionPlus,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
14,XzbKd1l1CA1LfuKaAJJTO0xgOWgRuAUu9vwhPy_wbhbQJhipDNNjrS2PnbKNgHcSI7FDXv9YDtfstw,sea,oc1,PLATINUM,4,TFT11_WuKong,6,1,,,,TFT9_Augment_BuildingACollectionPlus,TFT9_Augment_BronzeTicket,TFT9_Augment_BigGrabBag
15,YClR5-w9LQujO2-Y6-Y-NqyW3M-sN-rNhJlFIF4FsWoxBBcOZMVNwHdSuTioXqcS8jc8c3ebTV_I6A,sea,oc1,PLATINUM,6,TFT11_Sivir,0,1,,,,TFT10_Augment_FullyAdapted,TFT9_Augment_RedBuff,TFT9_Augment_YouHaveMySword
