,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,MM4r2nZTnm10z5plBmMDZe4XBIqu8QI9YPlm6XCkfd7T_dCGLlP9PEjkW5QT3c8kFR7aW6Ul4OEFRw,europe,ru,PLATINUM,8,TFT11_FortuneYord,0,3,TFT4_Item_OrnnInfinityForce,TFT4_Item_OrnnDeathsDefiance,TFT4_Item_OrnnZhonyasParadox,TFT11_Augment_KobukoCarry,TFT11_Augment_GoldenRemover,TFT11_Augment_TrashToTreasure
1,MM4r2nZTnm10z5plBmMDZe4XBIqu8QI9YPlm6XCkfd7T_dCGLlP9PEjkW5QT3c8kFR7aW6Ul4OEFRw,europe,ru,PLATINUM,8,TFT11_Riven,1,2,,,,TFT11_Augment_KobukoCarry,TFT11_Augment_GoldenRemover,TFT11_Augment_TrashToTreasure
2,MM4r2nZTnm10z5plBmMDZe4XBIqu8QI9YPlm6XCkfd7T_dCGLlP9PEjkW5QT3c8kFR7aW6Ul4OEFRw,europe,ru,PLATINUM,8,TFT11_Yorick,1,2,,,,TFT11_Augment_KobukoCarry,TFT11_Augment_GoldenRemover,TFT11_Augment_TrashToTreasure
3,MM4r2nZTnm10z5plBmMDZe4XBIqu8QI9YPlm6XCkfd7T_dCGLlP9PEjkW5QT3c8kFR7aW6Ul4OEFRw,europe,ru,PLATINUM,8,TFT11_Galio,4,2,TFT9_Item_OrnnTrickstersGlass,,,TFT11_Augment_KobukoCarry,TFT11_Augment_GoldenRemover,TFT11_Augment_TrashToTreasure
4,MM4r2nZTnm10z5plBmMDZe4XBIqu8QI9YPlm6XCkfd7T_dCGLlP9PEjkW5QT3c8kFR7aW6Ul4OEFRw,europe,ru,PLATINUM,8,TFT11_Nautilus,4,1,,,,TFT11_Augment_KobukoCarry,TFT11_Augment_GoldenRemover,TFT11_Augment_TrashToTreasure
5,MM4r2nZTnm10z5plBmMDZe4XBIqu8QI9YPlm6XCkfd7T_dCGLlP9PEjkW5QT3c8kFR7aW6Ul4OEFRw,europe,ru,PLATINUM,8,TFT11_Sylas,4,1,,,,TFT11_Augment_KobukoCarry,TFT11_Augment_GoldenRemover,TFT11_Augment_TrashToTreasure
6,MM4r2nZTnm10z5plBmMDZe4XBIqu8QI9YPlm6XCkfd7T_dCGLlP9PEjkW5QT3c8kFR7aW6Ul4OEFRw,europe,ru,PLATINUM,8,TFT11_Syndra,4,1,TFT9_Item_OrnnDeathfireGrasp,TFT9_Item_OrnnHorizonFocus,,TFT11_Augment_KobukoCarry,TFT11_Augment_GoldenRemover,TFT11_Augment_TrashToTreasure
7,MM4r2nZTnm10z5plBmMDZe4XBIqu8QI9YPlm6XCkfd7T_dCGLlP9PEjkW5QT3c8kFR7aW6Ul4OEFRw,europe,ru,PLATINUM,8,TFT11_Galio,4,2,,,,TFT11_Augment_KobukoCarry,TFT11_Augment_GoldenRemover,TFT11_Augment_TrashToTreasure
8,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Garen,0,3,TFT_Item_SpectralGauntlet,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
9,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Sivir,0,3,TFT5_Item_GiantSlayerRadiant,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
10,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Riven,1,3,TFT_Item_ThiefsGloves,TFT_Item_RunaansHurricane,TFT_Item_UnstableConcoction,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
11,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Zyra,1,2,,,,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
12,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Amumu,2,2,,,,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
13,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Galio,4,2,TFT_Item_GiantsBelt,TFT_Item_DragonsClaw,TFT_Item_GargoyleStoneplate,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
14,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Kaisa,4,1,TFT_Item_MadredsBloodrazor,,,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
15,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Ornn,4,1,,,,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
16,JzABALPied1F_ddJ5E9TViJleWgrsemRzf3CcZItNVXLIKW73fdBRh7IaLNRfqje5WkboVrvFoxx_w,europe,ru,PLATINUM,5,TFT11_Kayle,9,2,TFT11_Storyweaver5_AS,TFT11_Storyweaver3_Support,,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_PandorasItems,TFT11_Augment_RadiantRefactor
17,ytGlfuhueV-WK7BOwHctFYhYVfKw4wo-5jAP0Kx5uHg41WpFQ4W-YMU4eo6z5dv9CKRrrkDBY8OxBA,europe,ru,PLATINUM,7,TFT11_ChoGath,0,2,,,,TFT9_Augment_Harmacist2,TFT9_Augment_BronzeTicket,TFT11_Augment_Calltochaos
18,ytGlfuhueV-WK7BOwHctFYhYVfKw4wo-5jAP0Kx5uHg41WpFQ4W-YMU4eo6z5dv9CKRrrkDBY8OxBA,europe,ru,PLATINUM,7,TFT11_Neeko,1,1,,,,TFT9_Augment_Harmacist2,TFT9_Augment_BronzeTicket,TFT11_Augment_Calltochaos
19,ytGlfuhueV-WK7BOwHctFYhYVfKw4wo-5jAP0Kx5uHg41WpFQ4W-YMU4eo6z5dv9CKRrrkDBY8OxBA,europe,ru,PLATINUM,7,TFT11_Yorick,1,2,TFT_Item_GargoyleStoneplate,,,TFT9_Augment_Harmacist2,TFT9_Augment_BronzeTicket,TFT11_Augment_Calltochaos
20,ytGlfuhueV-WK7BOwHctFYhYVfKw4wo-5jAP0Kx5uHg41WpFQ4W-YMU4eo6z5dv9CKRrrkDBY8OxBA,europe,ru,PLATINUM,7,TFT11_TahmKench,2,2,TFT_Item_WarmogsArmor,TFT_Item_RedBuff,,TFT9_Augment_Harmacist2,TFT9_Augment_BronzeTicket,TFT11_Augment_Calltochaos
