,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Aatrox,1,2,TFT_Item_ForceOfNature,,,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
1,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Riven,1,2,TFT_Item_BFSword,,,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
2,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Zyra,1,2,,,,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
3,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Volibear,2,2,,,,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
4,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Yone,2,2,,,,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
5,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_TahmKench,2,2,,,,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
6,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Morgana,4,2,TFT_Item_Morellonomicon,TFT_Item_SpearOfShojin,TFT11_Item_BruiserEmblemItem,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
7,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Kayn,4,2,TFT5_Item_TitansResolveRadiant,TFT_Item_HextechGunblade,TFT_Item_TitansResolve,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
8,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Galio,4,2,TFT_Item_GargoyleStoneplate,TFT_Item_AdaptiveHelm,,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
9,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Sylas,4,2,TFT_Item_Crownguard,TFT_Item_Quicksilver,TFT4_Item_OrnnDeathsDefiance,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
10,zz0c65uoSkJHFDa85yR1dU3jSA2B9g-RjOpP5QExoEFtHldGlsTCf2t2KZs6u2gRuCk6edBX169dcw,americas,br1,PLATINUM,2,TFT11_Kayle,9,1,TFT11_Storyweaver3_Support,,,TFT9_Augment_PumpingUp2,TFT10_Augment_CrashTestDummies,TFT9_Augment_GreaterJeweledLotus
11,V-KGbFVGHjO_A5oUb8Cb0R34OVwdsDzjFPfhRhGM-0GuPjahmOOaBA02g_Mqp4j4qAMQ-S92vWJnWA,americas,br1,PLATINUM,7,TFT11_Yasuo,0,2,,,,TFT11_Augment_FatedCrest,TFT9_Augment_Martyr,TFT9_Augment_OverwhelmingForce
12,V-KGbFVGHjO_A5oUb8Cb0R34OVwdsDzjFPfhRhGM-0GuPjahmOOaBA02g_Mqp4j4qAMQ-S92vWJnWA,americas,br1,PLATINUM,7,TFT11_Kindred,1,2,TFT9_Item_OrnnPrototypeForge,TFT4_Item_OrnnAnimaVisage,TFT7_Item_ShimmerscaleMogulsMail,TFT11_Augment_FatedCrest,TFT9_Augment_Martyr,TFT9_Augment_OverwhelmingForce
13,V-KGbFVGHjO_A5oUb8Cb0R34OVwdsDzjFPfhRhGM-0GuPjahmOOaBA02g_Mqp4j4qAMQ-S92vWJnWA,americas,br1,PLATINUM,7,TFT11_Amumu,2,3,TFT_Item_NightHarvester,TFT_Item_FrozenHeart,TFT11_Item_FatedEmblemItem,TFT11_Augment_FatedCrest,TFT9_Augment_Martyr,TFT9_Augment_OverwhelmingForce
14,V-KGbFVGHjO_A5oUb8Cb0R34OVwdsDzjFPfhRhGM-0GuPjahmOOaBA02g_Mqp4j4qAMQ-S92vWJnWA,americas,br1,PLATINUM,7,TFT11_Aphelios,2,2,TFT_Item_InfinityEdge,TFT_Item_Deathblade,TFT_Item_GuinsoosRageblade,TFT11_Augment_FatedCrest,TFT9_Augment_Martyr,TFT9_Augment_OverwhelmingForce
15,V-KGbFVGHjO_A5oUb8Cb0R34OVwdsDzjFPfhRhGM-0GuPjahmOOaBA02g_Mqp4j4qAMQ-S92vWJnWA,americas,br1,PLATINUM,7,TFT11_Thresh,2,2,TFT_Item_WarmogsArmor,TFT11_Item_DryadEmblemItem,TFT4_Item_OrnnEternalWinter,TFT11_Augment_FatedCrest,TFT9_Augment_Martyr,TFT9_Augment_OverwhelmingForce
16,V-KGbFVGHjO_A5oUb8Cb0R34OVwdsDzjFPfhRhGM-0GuPjahmOOaBA02g_Mqp4j4qAMQ-S92vWJnWA,americas,br1,PLATINUM,7,TFT11_Ashe,4,1,TFT11_Item_FatedEmblemItem,TFT_Item_LastWhisper,TFT_Item_InfinityEdge,TFT11_Augment_FatedCrest,TFT9_Augment_Martyr,TFT9_Augment_OverwhelmingForce
17,V-KGbFVGHjO_A5oUb8Cb0R34OVwdsDzjFPfhRhGM-0GuPjahmOOaBA02g_Mqp4j4qAMQ-S92vWJnWA,americas,br1,PLATINUM,7,TFT11_Syndra,4,1,TFT_Item_SpearOfShojin,,,TFT11_Augment_FatedCrest,TFT9_Augment_Martyr,TFT9_Augment_OverwhelmingForce
18,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_ChoGath,0,2,,,,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
19,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_Neeko,1,2,TFT_Item_FrozenHeart,,,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
20,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_Annie,4,2,TFT_Item_TitansResolve,TFT11_Item_MythicEmblemItem,TFT4_Item_OrnnEternalWinter,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
21,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_Lillia,4,2,TFT_Item_Morellonomicon,TFT_Item_BlueBuff,TFT_Item_MadredsBloodrazor,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
22,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_Ornn,4,2,TFT11_Item_InvokerEmblemItem,TFT_Item_GiantsBelt,,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
23,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_Nautilus,4,1,TFT_Item_BrambleVest,TFT_Item_Redemption,,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
24,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_Sett,6,2,TFT_Item_Crownguard,TFT11_Item_MythicEmblemItem,TFT_Item_IonicSpark,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
25,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_Hwei,6,2,TFT_Item_JeweledGauntlet,TFT_Item_SpearOfShojin,TFT_Item_BlueBuff,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
26,NLZ6fGi4AY2N9fsB0N2IQfMXRtsWpCXwWlrgsD56wXAVS4Q6KD6Sxx4lW5Rkxw6wV_-Kdfqd8g7_UQ,americas,br1,PLATINUM,1,TFT11_Azir,6,2,,,,TFT6_Augment_SalvageBin,TFT11_Augment_MythicCrest,TFT11_Augment_BaBoom
27,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_Malphite,0,2,TFT_Item_Redemption,,,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
28,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_KhaZix,0,2,TFT11_Item_AltruistEmblemItem,,,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
29,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_Neeko,1,1,,,,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
30,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_Qiyana,1,2,,,,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
31,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_Illaoi,2,1,TFT11_Item_HeavenlyEmblemItem,,,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
32,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_Soraka,2,2,TFT_Item_TearOfTheGoddess,,,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
33,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_Kayn,4,2,TFT_Item_Bloodthirster,TFT_Item_InfinityEdge,TFT_Item_SteraksGage,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
34,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_Rakan,6,1,TFT_Item_HextechGunblade,TFT11_Item_HeavenlyEmblemItem,TFT_Item_Morellonomicon,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
35,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_WuKong,6,2,TFT9_Item_OrnnTrickstersGlass,TFT_Item_TitansResolve,TFT11_Item_AltruistEmblemItem,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
36,v4Ot9Wauqe0p5joYnfQfR92HBWMJCGlwsRNMjx9NIeiBdPOC1isGxsK7AN9s_SaLuSZpnlRmMptV-w,americas,br1,PLATINUM,4,TFT11_WuKong,6,2,,,,TFT10_Augment_Scapegoat,TFT9_Augment_KnowYourEnemy,TFT11_Augment_AltruistCrown
37,6jkgn4iNSuusgQ1UQw1ds4CjM7n4mMzkCGF5zSZGl_7WpdgfISfgeut65k_q-jvNm0KDvwctmMNhgQ,americas,br1,PLATINUM,3,TFT11_Lux,1,1,,,,TFT6_Augment_ThreesCompany,TFT9_Augment_YouHaveMySword,TFT11_Augment_TrashToTreasure
38,6jkgn4iNSuusgQ1UQw1ds4CjM7n4mMzkCGF5zSZGl_7WpdgfISfgeut65k_q-jvNm0KDvwctmMNhgQ,americas,br1,PLATINUM,3,TFT11_Amumu,2,1,TFT_Item_IonicSpark,,,TFT6_Augment_ThreesCompany,TFT9_Augment_YouHaveMySword,TFT11_Augment_TrashToTreasure
39,6jkgn4iNSuusgQ1UQw1ds4CjM7n4mMzkCGF5zSZGl_7WpdgfISfgeut65k_q-jvNm0KDvwctmMNhgQ,americas,br1,PLATINUM,3,TFT11_Aphelios,2,2,TFT9_Item_OrnnHorizonFocus,,,TFT6_Augment_ThreesCompany,TFT9_Augment_YouHaveMySword,TFT11_Augment_TrashToTreasure
40,6jkgn4iNSuusgQ1UQw1ds4CjM7n4mMzkCGF5zSZGl_7WpdgfISfgeut65k_q-jvNm0KDvwctmMNhgQ,americas,br1,PLATINUM,3,TFT11_Thresh,2,2,TFT4_Item_OrnnAnimaVisage,TFT11_Item_WardenEmblemItem,TFT_Item_DragonsClaw,TFT6_Augment_ThreesCompany,TFT9_Augment_YouHaveMySword,TFT11_Augment_TrashToTreasure
