,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,1D2jHJqC64y4vX6z86Upj2vHFyjcqyRwulE7iMGxjpeO_2LFjIMAkkgEIkNXGRL5il00RzP7n_a_hA,europe,eun1,PLATINUM,4,TFT11_Caitlyn,0,1,,,,TFT9_Augment_LongDistanceRelationship2,TFT11_Augment_FatedCrest,TFT10_Augment_HeroicGrabBag
1,1D2jHJqC64y4vX6z86Upj2vHFyjcqyRwulE7iMGxjpeO_2LFjIMAkkgEIkNXGRL5il00RzP7n_a_hA,europe,eun1,PLATINUM,4,TFT11_Lux,1,2,,,,TFT9_Augment_LongDistanceRelationship2,TFT11_Augment_FatedCrest,TFT10_Augment_HeroicGrabBag
2,1D2jHJqC64y4vX6z86Upj2vHFyjcqyRwulE7iMGxjpeO_2LFjIMAkkgEIkNXGRL5il00RzP7n_a_hA,europe,eun1,PLATINUM,4,TFT11_Amumu,2,3,TFT_Item_WarmogsArmor,TFT_Item_BrambleVest,TFT_Item_NightHarvester,TFT9_Augment_LongDistanceRelationship2,TFT11_Augment_FatedCrest,TFT10_Augment_HeroicGrabBag
3,1D2jHJqC64y4vX6z86Upj2vHFyjcqyRwulE7iMGxjpeO_2LFjIMAkkgEIkNXGRL5il00RzP7n_a_hA,europe,eun1,PLATINUM,4,TFT11_Aphelios,2,3,TFT_Item_Deathblade,TFT_Item_RapidFireCannon,TFT_Item_MadredsBloodrazor,TFT9_Augment_LongDistanceRelationship2,TFT11_Augment_FatedCrest,TFT10_Augment_HeroicGrabBag
4,1D2jHJqC64y4vX6z86Upj2vHFyjcqyRwulE7iMGxjpeO_2LFjIMAkkgEIkNXGRL5il00RzP7n_a_hA,europe,eun1,PLATINUM,4,TFT11_Illaoi,2,2,,,,TFT9_Augment_LongDistanceRelationship2,TFT11_Augment_FatedCrest,TFT10_Augment_HeroicGrabBag
5,1D2jHJqC64y4vX6z86Upj2vHFyjcqyRwulE7iMGxjpeO_2LFjIMAkkgEIkNXGRL5il00RzP7n_a_hA,europe,eun1,PLATINUM,4,TFT11_Ashe,4,2,TFT11_Item_FatedEmblemItem,,,TFT9_Augment_LongDistanceRelationship2,TFT11_Augment_FatedCrest,TFT10_Augment_HeroicGrabBag
6,1D2jHJqC64y4vX6z86Upj2vHFyjcqyRwulE7iMGxjpeO_2LFjIMAkkgEIkNXGRL5il00RzP7n_a_hA,europe,eun1,PLATINUM,4,TFT11_Syndra,4,2,TFT_Item_BlueBuff,TFT_Item_NeedlesslyLargeRod,,TFT9_Augment_LongDistanceRelationship2,TFT11_Augment_FatedCrest,TFT10_Augment_HeroicGrabBag
7,1D2jHJqC64y4vX6z86Upj2vHFyjcqyRwulE7iMGxjpeO_2LFjIMAkkgEIkNXGRL5il00RzP7n_a_hA,europe,eun1,PLATINUM,4,TFT11_Lissandra,6,2,TFT_Item_Leviathan,TFT_Item_JeweledGauntlet,TFT_Item_HextechGunblade,TFT9_Augment_LongDistanceRelationship2,TFT11_Augment_FatedCrest,TFT10_Augment_HeroicGrabBag
8,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Garen,0,1,,,,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
9,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Sivir,0,2,,,,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
10,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Riven,1,2,TFT_Item_GiantsBelt,,,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
11,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Zyra,1,2,,,,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
12,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Illaoi,2,2,TFT11_Item_SageEmblemItem,,,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
13,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Zoe,2,1,,,,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
14,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Morgana,4,1,TFT_Item_Leviathan,TFT_Item_ArchangelsStaff,TFT_Item_SpearOfShojin,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
15,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Galio,4,2,TFT_Item_WarmogsArmor,TFT_Item_DragonsClaw,TFT_Item_NightHarvester,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
16,GV3Pno0WIk3d42TnmcvVvJJlhuvWnP6CJMY87tvE3p0tneKkgNp0e4-CCsACQd1ySoGrnRRUlzSeKg,europe,eun1,PLATINUM,2,TFT11_Irelia,6,2,TFT_Item_GuinsoosRageblade,TFT_Item_RapidFireCannon,TFT_Item_InfinityEdge,TFT11_Augment_EpochPlus,TFT11_Augment_SageCrest,TFT9_Augment_Harmacist2
