,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,yzTTMx9x2lRaNnVMzsvQmpNSqreC0IguT6GyPy8KNKe9ls0t2yf9J-bUbdh0NeopfoDadpPUn47pKQ,europe,euw1,PLATINUM,5,TFT11_Kindred,1,1,,,,TFT6_Augment_SlowAndSteady,TFT9_Augment_CyberneticBulk1,TFT9_Augment_GiftsFromTheFallen
1,yzTTMx9x2lRaNnVMzsvQmpNSqreC0IguT6GyPy8KNKe9ls0t2yf9J-bUbdh0NeopfoDadpPUn47pKQ,europe,euw1,PLATINUM,5,TFT11_Amumu,2,3,TFT_Item_GargoyleStoneplate,TFT_Item_NightHarvester,TFT_Item_Crownguard,TFT6_Augment_SlowAndSteady,TFT9_Augment_CyberneticBulk1,TFT9_Augment_GiftsFromTheFallen
2,yzTTMx9x2lRaNnVMzsvQmpNSqreC0IguT6GyPy8KNKe9ls0t2yf9J-bUbdh0NeopfoDadpPUn47pKQ,europe,euw1,PLATINUM,5,TFT11_Aphelios,2,3,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT_Item_RapidFireCannon,TFT6_Augment_SlowAndSteady,TFT9_Augment_CyberneticBulk1,TFT9_Augment_GiftsFromTheFallen
3,yzTTMx9x2lRaNnVMzsvQmpNSqreC0IguT6GyPy8KNKe9ls0t2yf9J-bUbdh0NeopfoDadpPUn47pKQ,europe,euw1,PLATINUM,5,TFT11_Thresh,2,3,TFT_Item_GargoyleStoneplate,,,TFT6_Augment_SlowAndSteady,TFT9_Augment_CyberneticBulk1,TFT9_Augment_GiftsFromTheFallen
4,yzTTMx9x2lRaNnVMzsvQmpNSqreC0IguT6GyPy8KNKe9ls0t2yf9J-bUbdh0NeopfoDadpPUn47pKQ,europe,euw1,PLATINUM,5,TFT11_Illaoi,2,1,,,,TFT6_Augment_SlowAndSteady,TFT9_Augment_CyberneticBulk1,TFT9_Augment_GiftsFromTheFallen
5,yzTTMx9x2lRaNnVMzsvQmpNSqreC0IguT6GyPy8KNKe9ls0t2yf9J-bUbdh0NeopfoDadpPUn47pKQ,europe,euw1,PLATINUM,5,TFT11_Ashe,4,2,,,,TFT6_Augment_SlowAndSteady,TFT9_Augment_CyberneticBulk1,TFT9_Augment_GiftsFromTheFallen
6,yzTTMx9x2lRaNnVMzsvQmpNSqreC0IguT6GyPy8KNKe9ls0t2yf9J-bUbdh0NeopfoDadpPUn47pKQ,europe,euw1,PLATINUM,5,TFT11_Syndra,4,2,TFT_Item_BlueBuff,TFT_Item_JeweledGauntlet,TFT_Item_Leviathan,TFT6_Augment_SlowAndSteady,TFT9_Augment_CyberneticBulk1,TFT9_Augment_GiftsFromTheFallen
7,yzTTMx9x2lRaNnVMzsvQmpNSqreC0IguT6GyPy8KNKe9ls0t2yf9J-bUbdh0NeopfoDadpPUn47pKQ,europe,euw1,PLATINUM,5,TFT11_Sett,6,1,,,,TFT6_Augment_SlowAndSteady,TFT9_Augment_CyberneticBulk1,TFT9_Augment_GiftsFromTheFallen
8,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_Caitlyn,0,2,,,,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
9,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_ChoGath,0,3,TFT_Item_GargoyleStoneplate,TFT5_Item_IonicSparkRadiant,TFT_Item_BrambleVest,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
10,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_Malphite,0,3,,,,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
11,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_KogMaw,0,3,TFT_Item_HextechGunblade,TFT_Item_Leviathan,TFT_Item_BlueBuff,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
12,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_Neeko,1,3,TFT_Item_BrambleVest,TFT_Item_Redemption,TFT_Item_DragonsClaw,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
13,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_Bard,2,1,,,,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
14,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_TahmKench,2,2,TFT_Item_ChainVest,TFT11_Item_HeavenlyEmblemItem,,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
15,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_Lillia,4,1,,,,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
16,oyv9FLxGN7PbOs0m3ADuMy8jpWVwdW08Nt119oddc8k1ZCKcpMPbVQRwjPrjruvTP6BBHNjCWXIKGQ,europe,euw1,PLATINUM,2,TFT11_Nautilus,4,2,TFT_Item_Crownguard,TFT_Item_BrambleVest,,TFT6_Augment_RadiantRelics,TFT6_Augment_PandorasItems,TFT9_Augment_HealingOrbsII
17,U63DE69xUy6bMvYhE9AaLEvOuHGU27-DMLcEx5McKNx9sYBR_yZ0RLKFeU9VUWKXjUpvDYTaJ-D21A,europe,euw1,PLATINUM,8,TFT11_Alune,2,2,TFT_Item_SparringGloves,,,TFT9_Augment_HedgeFund,TFT6_Augment_TinyTitans,TFT9_Augment_BigGrabBag
18,U63DE69xUy6bMvYhE9AaLEvOuHGU27-DMLcEx5McKNx9sYBR_yZ0RLKFeU9VUWKXjUpvDYTaJ-D21A,europe,euw1,PLATINUM,8,TFT11_TahmKench,2,2,,,,TFT9_Augment_HedgeFund,TFT6_Augment_TinyTitans,TFT9_Augment_BigGrabBag
19,U63DE69xUy6bMvYhE9AaLEvOuHGU27-DMLcEx5McKNx9sYBR_yZ0RLKFeU9VUWKXjUpvDYTaJ-D21A,europe,euw1,PLATINUM,8,TFT11_Annie,4,2,TFT_Item_GargoyleStoneplate,TFT_Item_GargoyleStoneplate,,TFT9_Augment_HedgeFund,TFT6_Augment_TinyTitans,TFT9_Augment_BigGrabBag
20,U63DE69xUy6bMvYhE9AaLEvOuHGU27-DMLcEx5McKNx9sYBR_yZ0RLKFeU9VUWKXjUpvDYTaJ-D21A,europe,euw1,PLATINUM,8,TFT11_Lillia,4,2,TFT_Item_RabadonsDeathcap,TFT_Item_Leviathan,TFT_Item_SpearOfShojin,TFT9_Augment_HedgeFund,TFT6_Augment_TinyTitans,TFT9_Augment_BigGrabBag
21,U63DE69xUy6bMvYhE9AaLEvOuHGU27-DMLcEx5McKNx9sYBR_yZ0RLKFeU9VUWKXjUpvDYTaJ-D21A,europe,euw1,PLATINUM,8,TFT11_Ornn,4,2,TFT_Item_ThiefsGloves,TFT_Item_Bloodthirster,TFT_Item_UnstableConcoction,TFT9_Augment_HedgeFund,TFT6_Augment_TinyTitans,TFT9_Augment_BigGrabBag
22,U63DE69xUy6bMvYhE9AaLEvOuHGU27-DMLcEx5McKNx9sYBR_yZ0RLKFeU9VUWKXjUpvDYTaJ-D21A,europe,euw1,PLATINUM,8,TFT11_Nautilus,4,2,,,,TFT9_Augment_HedgeFund,TFT6_Augment_TinyTitans,TFT9_Augment_BigGrabBag
23,U63DE69xUy6bMvYhE9AaLEvOuHGU27-DMLcEx5McKNx9sYBR_yZ0RLKFeU9VUWKXjUpvDYTaJ-D21A,europe,euw1,PLATINUM,8,TFT11_Sylas,4,1,,,,TFT9_Augment_HedgeFund,TFT6_Augment_TinyTitans,TFT9_Augment_BigGrabBag
24,U63DE69xUy6bMvYhE9AaLEvOuHGU27-DMLcEx5McKNx9sYBR_yZ0RLKFeU9VUWKXjUpvDYTaJ-D21A,europe,euw1,PLATINUM,8,TFT11_Azir,6,1,TFT_Item_GuinsoosRageblade,TFT_Item_MadredsBloodrazor,TFT_Item_SpearOfShojin,TFT9_Augment_HedgeFund,TFT6_Augment_TinyTitans,TFT9_Augment_BigGrabBag
25,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Lux,1,1,,,,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
26,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Shen,1,2,TFT_Item_SpectralGauntlet,,,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
27,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Aphelios,2,2,,,,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
28,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Thresh,2,2,TFT_Item_WarmogsArmor,TFT_Item_TitansResolve,TFT_Item_NightHarvester,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
29,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Illaoi,2,2,,,,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
30,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Annie,4,2,TFT_Item_Redemption,TFT_Item_BrambleVest,TFT_Item_GargoyleStoneplate,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
31,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Ashe,4,2,TFT5_Item_TrapClawRadiant,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
32,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Syndra,4,2,TFT_Item_AdaptiveHelm,TFT_Item_JeweledGauntlet,TFT11_Item_PorcelainEmblemItem,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
33,f1VfMU64Ee7gtHf3OaAR-1_Tb-OczwMsI4NHmYISdJby2yLz_PdPd--wBtUNVfCwfJFgHqe7ojhwZA,europe,euw1,PLATINUM,4,TFT11_Lissandra,6,1,,,,TFT9_Augment_BardPlaybook3,TFT9_Augment_RedBuff,TFT6_Augment_Diversify2
34,2OUcKywujneOUpsI20OPEU0VnvYW1L7xSaaWYmT6aTVa3X2IZxdHLM1ohWodqlx4pkVPNH6RaP0zBA,europe,euw1,PLATINUM,3,TFT11_Sivir,0,2,,,,TFT6_Augment_ForceOfNature,TFT9_Augment_MissedConnections,TFT11_Augment_Bruiser
35,2OUcKywujneOUpsI20OPEU0VnvYW1L7xSaaWYmT6aTVa3X2IZxdHLM1ohWodqlx4pkVPNH6RaP0zBA,europe,euw1,PLATINUM,3,TFT11_Aatrox,1,2,,,,TFT6_Augment_ForceOfNature,TFT9_Augment_MissedConnections,TFT11_Augment_Bruiser
36,2OUcKywujneOUpsI20OPEU0VnvYW1L7xSaaWYmT6aTVa3X2IZxdHLM1ohWodqlx4pkVPNH6RaP0zBA,europe,euw1,PLATINUM,3,TFT11_Riven,1,2,,,,TFT6_Augment_ForceOfNature,TFT9_Augment_MissedConnections,TFT11_Augment_Bruiser
37,2OUcKywujneOUpsI20OPEU0VnvYW1L7xSaaWYmT6aTVa3X2IZxdHLM1ohWodqlx4pkVPNH6RaP0zBA,europe,euw1,PLATINUM,3,TFT11_Teemo,1,2,TFT_Item_Morellonomicon,TFT_Item_BlueBuff,TFT_Item_HextechGunblade,TFT6_Augment_ForceOfNature,TFT9_Augment_MissedConnections,TFT11_Augment_Bruiser
38,2OUcKywujneOUpsI20OPEU0VnvYW1L7xSaaWYmT6aTVa3X2IZxdHLM1ohWodqlx4pkVPNH6RaP0zBA,europe,euw1,PLATINUM,3,TFT11_Bard,2,2,,,,TFT6_Augment_ForceOfNature,TFT9_Augment_MissedConnections,TFT11_Augment_Bruiser
