,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,lZ1yvFzVW6GZtJI-jCFi82WYGfEcywcDD_BBEroqbV2DhLgX1KfiYYVoObKHUbPe0mClOys6giDICA,asia,jp1,PLATINUM,2,TFT11_Aatrox,1,2,,,,TFT11_Augment_PickOfTheLitter,TFT10_Augment_InspiringEpitaph,TFT11_Augment_ReaperCrest
1,lZ1yvFzVW6GZtJI-jCFi82WYGfEcywcDD_BBEroqbV2DhLgX1KfiYYVoObKHUbPe0mClOys6giDICA,asia,jp1,PLATINUM,2,TFT11_Kindred,1,2,TFT_Item_RabadonsDeathcap,TFT_Item_HextechGunblade,TFT_Item_StatikkShiv,TFT11_Augment_PickOfTheLitter,TFT10_Augment_InspiringEpitaph,TFT11_Augment_ReaperCrest
2,lZ1yvFzVW6GZtJI-jCFi82WYGfEcywcDD_BBEroqbV2DhLgX1KfiYYVoObKHUbPe0mClOys6giDICA,asia,jp1,PLATINUM,2,TFT11_Alune,2,3,TFT11_Item_ReaperEmblemItem,TFT_Item_RapidFireCannon,TFT_Item_SpearOfShojin,TFT11_Augment_PickOfTheLitter,TFT10_Augment_InspiringEpitaph,TFT11_Augment_ReaperCrest
3,lZ1yvFzVW6GZtJI-jCFi82WYGfEcywcDD_BBEroqbV2DhLgX1KfiYYVoObKHUbPe0mClOys6giDICA,asia,jp1,PLATINUM,2,TFT11_Yone,2,3,TFT_Item_Bloodthirster,TFT_Item_InfinityEdge,TFT_Item_TitansResolve,TFT11_Augment_PickOfTheLitter,TFT10_Augment_InspiringEpitaph,TFT11_Augment_ReaperCrest
4,lZ1yvFzVW6GZtJI-jCFi82WYGfEcywcDD_BBEroqbV2DhLgX1KfiYYVoObKHUbPe0mClOys6giDICA,asia,jp1,PLATINUM,2,TFT11_Annie,4,1,TFT_Item_TearOfTheGoddess,TFT_Item_DragonsClaw,,TFT11_Augment_PickOfTheLitter,TFT10_Augment_InspiringEpitaph,TFT11_Augment_ReaperCrest
5,lZ1yvFzVW6GZtJI-jCFi82WYGfEcywcDD_BBEroqbV2DhLgX1KfiYYVoObKHUbPe0mClOys6giDICA,asia,jp1,PLATINUM,2,TFT11_Kayn,4,2,TFT_Item_ThiefsGloves,TFT_Item_PowerGauntlet,TFT_Item_LastWhisper,TFT11_Augment_PickOfTheLitter,TFT10_Augment_InspiringEpitaph,TFT11_Augment_ReaperCrest
6,lZ1yvFzVW6GZtJI-jCFi82WYGfEcywcDD_BBEroqbV2DhLgX1KfiYYVoObKHUbPe0mClOys6giDICA,asia,jp1,PLATINUM,2,TFT11_Sylas,4,2,TFT_Item_RedBuff,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT11_Augment_PickOfTheLitter,TFT10_Augment_InspiringEpitaph,TFT11_Augment_ReaperCrest
7,lZ1yvFzVW6GZtJI-jCFi82WYGfEcywcDD_BBEroqbV2DhLgX1KfiYYVoObKHUbPe0mClOys6giDICA,asia,jp1,PLATINUM,2,TFT11_Sett,6,1,TFT_Item_SpectralGauntlet,TFT_Item_Crownguard,,TFT11_Augment_PickOfTheLitter,TFT10_Augment_InspiringEpitaph,TFT11_Augment_ReaperCrest
8,ULz0YGaF1_f5RIaR544ZB_gxAMa-ZBj31OJlcMJ9ImI_LnmsqwcwbVE0CNMpCefXKzQXqjpVVh1O6Q,asia,jp1,PLATINUM,8,TFT11_Janna,1,2,TFT_Item_SpearOfShojin,TFT_Item_RapidFireCannon,TFT_Item_GuinsoosRageblade,TFT9_Augment_OneTwosThree,TFT7_Augment_BestFriends2,TFT10_Augment_CrashTestDummies
9,ULz0YGaF1_f5RIaR544ZB_gxAMa-ZBj31OJlcMJ9ImI_LnmsqwcwbVE0CNMpCefXKzQXqjpVVh1O6Q,asia,jp1,PLATINUM,8,TFT11_Neeko,1,3,TFT_Item_DragonsClaw,TFT_Item_Redemption,,TFT9_Augment_OneTwosThree,TFT7_Augment_BestFriends2,TFT10_Augment_CrashTestDummies
10,ULz0YGaF1_f5RIaR544ZB_gxAMa-ZBj31OJlcMJ9ImI_LnmsqwcwbVE0CNMpCefXKzQXqjpVVh1O6Q,asia,jp1,PLATINUM,8,TFT11_Riven,1,2,,,,TFT9_Augment_OneTwosThree,TFT7_Augment_BestFriends2,TFT10_Augment_CrashTestDummies
11,ULz0YGaF1_f5RIaR544ZB_gxAMa-ZBj31OJlcMJ9ImI_LnmsqwcwbVE0CNMpCefXKzQXqjpVVh1O6Q,asia,jp1,PLATINUM,8,TFT11_Zyra,1,2,,,,TFT9_Augment_OneTwosThree,TFT7_Augment_BestFriends2,TFT10_Augment_CrashTestDummies
12,ULz0YGaF1_f5RIaR544ZB_gxAMa-ZBj31OJlcMJ9ImI_LnmsqwcwbVE0CNMpCefXKzQXqjpVVh1O6Q,asia,jp1,PLATINUM,8,TFT11_Soraka,2,2,TFT_Item_HextechGunblade,TFT_Item_SpearOfShojin,,TFT9_Augment_OneTwosThree,TFT7_Augment_BestFriends2,TFT10_Augment_CrashTestDummies
13,ULz0YGaF1_f5RIaR544ZB_gxAMa-ZBj31OJlcMJ9ImI_LnmsqwcwbVE0CNMpCefXKzQXqjpVVh1O6Q,asia,jp1,PLATINUM,8,TFT11_Diana,2,3,TFT11_Item_HeavenlyEmblemItem,TFT_Item_NightHarvester,,TFT9_Augment_OneTwosThree,TFT7_Augment_BestFriends2,TFT10_Augment_CrashTestDummies
14,mR3pbKk3BPCiNX6biUtzsjjA8ftzKK9dq-gWb3kVTNdIjxAiXca-1m3zMVRUkXxqmHEy5koTMlqjmA,asia,jp1,PLATINUM,1,TFT11_Alune,2,2,TFT_Item_Morellonomicon,,,TFT11_Augment_SharingIsCaring,TFT9_Augment_BigGrabBag,TFT9_Augment_CombatCaster
