,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,4KGfCRItmg763ZK8hR9FaOgxe1DiPVwJ8IhNj3vg1JTmNzqtagsmJrDcaHdzoYSqXmx6FxBEIJsMRA,asia,kr,PLATINUM,6,TFT11_Amumu,2,2,TFT11_Item_FatedEmblemItem,TFT_Item_GargoyleStoneplate,TFT9_Item_OrnnHullbreaker,TFT9_Augment_IronAssets,TFT6_Augment_PortableForgePlus,TFT11_Augment_FatedCrest
1,4KGfCRItmg763ZK8hR9FaOgxe1DiPVwJ8IhNj3vg1JTmNzqtagsmJrDcaHdzoYSqXmx6FxBEIJsMRA,asia,kr,PLATINUM,6,TFT11_Aphelios,2,3,TFT_Item_InfinityEdge,TFT_Item_Deathblade,TFT_Item_GuinsoosRageblade,TFT9_Augment_IronAssets,TFT6_Augment_PortableForgePlus,TFT11_Augment_FatedCrest
2,4KGfCRItmg763ZK8hR9FaOgxe1DiPVwJ8IhNj3vg1JTmNzqtagsmJrDcaHdzoYSqXmx6FxBEIJsMRA,asia,kr,PLATINUM,6,TFT11_Thresh,2,1,,,,TFT9_Augment_IronAssets,TFT6_Augment_PortableForgePlus,TFT11_Augment_FatedCrest
3,4KGfCRItmg763ZK8hR9FaOgxe1DiPVwJ8IhNj3vg1JTmNzqtagsmJrDcaHdzoYSqXmx6FxBEIJsMRA,asia,kr,PLATINUM,6,TFT11_Ashe,4,2,TFT_Item_RunaansHurricane,TFT_Item_MadredsBloodrazor,TFT_Item_LastWhisper,TFT9_Augment_IronAssets,TFT6_Augment_PortableForgePlus,TFT11_Augment_FatedCrest
4,4KGfCRItmg763ZK8hR9FaOgxe1DiPVwJ8IhNj3vg1JTmNzqtagsmJrDcaHdzoYSqXmx6FxBEIJsMRA,asia,kr,PLATINUM,6,TFT11_Ornn,4,2,TFT_Item_RedBuff,,,TFT9_Augment_IronAssets,TFT6_Augment_PortableForgePlus,TFT11_Augment_FatedCrest
5,4KGfCRItmg763ZK8hR9FaOgxe1DiPVwJ8IhNj3vg1JTmNzqtagsmJrDcaHdzoYSqXmx6FxBEIJsMRA,asia,kr,PLATINUM,6,TFT11_Syndra,4,2,TFT_Item_BlueBuff,TFT_Item_JeweledGauntlet,TFT_Item_NeedlesslyLargeRod,TFT9_Augment_IronAssets,TFT6_Augment_PortableForgePlus,TFT11_Augment_FatedCrest
6,4KGfCRItmg763ZK8hR9FaOgxe1DiPVwJ8IhNj3vg1JTmNzqtagsmJrDcaHdzoYSqXmx6FxBEIJsMRA,asia,kr,PLATINUM,6,TFT11_Sett,6,1,TFT_Item_WarmogsArmor,,,TFT9_Augment_IronAssets,TFT6_Augment_PortableForgePlus,TFT11_Augment_FatedCrest
7,4KGfCRItmg763ZK8hR9FaOgxe1DiPVwJ8IhNj3vg1JTmNzqtagsmJrDcaHdzoYSqXmx6FxBEIJsMRA,asia,kr,PLATINUM,6,TFT11_Lissandra,6,1,TFT_Item_Redemption,TFT_Item_IonicSpark,,TFT9_Augment_IronAssets,TFT6_Augment_PortableForgePlus,TFT11_Augment_FatedCrest
8,FOBuu-raCuj-JZiqZwOjH9UJKpz6Xep6hNd0zCfr2EIo9JqkEFg1UfwpcIWE5creLpKbZdWbQAnhcQ,asia,kr,PLATINUM,4,TFT11_KogMaw,0,2,,,,TFT10_Augment_Stimpack,TFT9_Augment_JeweledLotus,TFT11_Augment_MythicCrest
9,FOBuu-raCuj-JZiqZwOjH9UJKpz6Xep6hNd0zCfr2EIo9JqkEFg1UfwpcIWE5creLpKbZdWbQAnhcQ,asia,kr,PLATINUM,4,TFT11_Janna,1,2,TFT7_Item_ShimmerscaleHeartOfGold,,,TFT10_Augment_Stimpack,TFT9_Augment_JeweledLotus,TFT11_Augment_MythicCrest
