,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,OWniN-JzikNu6rOsPkRHdPHEPlW0LAlteTUoC0-TPScKMaxd2hXNmzYuPnxGIFWjcvq8CaPUySEq_g,americas,la1,PLATINUM,8,TFT11_KhaZix,0,2,,,,TFT9_Augment_WanderingTrainer,TFT9_Augment_NotToday,TFT9_Augment_JeweledLotus
1,OWniN-JzikNu6rOsPkRHdPHEPlW0LAlteTUoC0-TPScKMaxd2hXNmzYuPnxGIFWjcvq8CaPUySEq_g,americas,la1,PLATINUM,8,TFT11_Kindred,1,2,TFT_Item_BlueBuff,TFT_Item_GuardianAngel,TFT_Item_JeweledGauntlet,TFT9_Augment_WanderingTrainer,TFT9_Augment_NotToday,TFT9_Augment_JeweledLotus
2,OWniN-JzikNu6rOsPkRHdPHEPlW0LAlteTUoC0-TPScKMaxd2hXNmzYuPnxGIFWjcvq8CaPUySEq_g,americas,la1,PLATINUM,8,TFT11_Yorick,1,2,TFT_Item_RedBuff,,,TFT9_Augment_WanderingTrainer,TFT9_Augment_NotToday,TFT9_Augment_JeweledLotus
3,OWniN-JzikNu6rOsPkRHdPHEPlW0LAlteTUoC0-TPScKMaxd2hXNmzYuPnxGIFWjcvq8CaPUySEq_g,americas,la1,PLATINUM,8,TFT11_Yone,2,2,TFT_Item_Bloodthirster,TFT_Item_PowerGauntlet,TFT_Item_BFSword,TFT9_Augment_WanderingTrainer,TFT9_Augment_NotToday,TFT9_Augment_JeweledLotus
4,OWniN-JzikNu6rOsPkRHdPHEPlW0LAlteTUoC0-TPScKMaxd2hXNmzYuPnxGIFWjcvq8CaPUySEq_g,americas,la1,PLATINUM,8,TFT11_Ornn,4,2,TFT7_Item_ShimmerscaleHeartOfGold,TFT_Item_GiantsBelt,,TFT9_Augment_WanderingTrainer,TFT9_Augment_NotToday,TFT9_Augment_JeweledLotus
5,OWniN-JzikNu6rOsPkRHdPHEPlW0LAlteTUoC0-TPScKMaxd2hXNmzYuPnxGIFWjcvq8CaPUySEq_g,americas,la1,PLATINUM,8,TFT11_Azir,6,1,TFT_Item_JeweledGauntlet,,,TFT9_Augment_WanderingTrainer,TFT9_Augment_NotToday,TFT9_Augment_JeweledLotus
6,Nyg_2LOzKJpikEV-89yQRK_01ROU2uhRui1lttrvqCEEhNlnXjuInU6nMH5ejsUQ5Zj_oS7IqNhUSw,americas,la1,PLATINUM,5,TFT11_Gnar,1,2,,,,TFT11_Augment_TrashToTreasure,TFT10_Augment_CrashTestDummies,TFT11_Augment_Warden
7,Nyg_2LOzKJpikEV-89yQRK_01ROU2uhRui1lttrvqCEEhNlnXjuInU6nMH5ejsUQ5Zj_oS7IqNhUSw,americas,la1,PLATINUM,5,TFT11_Amumu,2,2,TFT9_Item_OrnnHullbreaker,TFT4_Item_OrnnDeathsDefiance,TFT4_Item_OrnnInfinityForce,TFT11_Augment_TrashToTreasure,TFT10_Augment_CrashTestDummies,TFT11_Augment_Warden
8,Nyg_2LOzKJpikEV-89yQRK_01ROU2uhRui1lttrvqCEEhNlnXjuInU6nMH5ejsUQ5Zj_oS7IqNhUSw,americas,la1,PLATINUM,5,TFT11_Aphelios,2,2,TFT_Item_Zephyr,,,TFT11_Augment_TrashToTreasure,TFT10_Augment_CrashTestDummies,TFT11_Augment_Warden
9,Nyg_2LOzKJpikEV-89yQRK_01ROU2uhRui1lttrvqCEEhNlnXjuInU6nMH5ejsUQ5Zj_oS7IqNhUSw,americas,la1,PLATINUM,5,TFT11_Illaoi,2,1,,,,TFT11_Augment_TrashToTreasure,TFT10_Augment_CrashTestDummies,TFT11_Augment_Warden
10,Nyg_2LOzKJpikEV-89yQRK_01ROU2uhRui1lttrvqCEEhNlnXjuInU6nMH5ejsUQ5Zj_oS7IqNhUSw,americas,la1,PLATINUM,5,TFT11_Ashe,4,2,TFT9_Item_OrnnHorizonFocus,TFT5_Item_GuinsoosRagebladeRadiant,TFT_Item_InfinityEdge,TFT11_Augment_TrashToTreasure,TFT10_Augment_CrashTestDummies,TFT11_Augment_Warden
11,Nyg_2LOzKJpikEV-89yQRK_01ROU2uhRui1lttrvqCEEhNlnXjuInU6nMH5ejsUQ5Zj_oS7IqNhUSw,americas,la1,PLATINUM,5,TFT11_Nautilus,4,2,TFT_Item_WarmogsArmor,,,TFT11_Augment_TrashToTreasure,TFT10_Augment_CrashTestDummies,TFT11_Augment_Warden
12,Nyg_2LOzKJpikEV-89yQRK_01ROU2uhRui1lttrvqCEEhNlnXjuInU6nMH5ejsUQ5Zj_oS7IqNhUSw,americas,la1,PLATINUM,5,TFT11_Syndra,4,2,TFT4_Item_OrnnZhonyasParadox,TFT_Item_Zephyr,,TFT11_Augment_TrashToTreasure,TFT10_Augment_CrashTestDummies,TFT11_Augment_Warden
