,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Garen,0,2,,,,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
1,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Sivir,0,2,TFT7_Item_ShimmerscaleHeartOfGold,,,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
2,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Riven,1,2,,,,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
3,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Zyra,1,2,,,,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
4,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Illaoi,2,2,,,,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
5,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Zoe,2,2,TFT_Item_SpearOfShojin,TFT_Item_GuinsoosRageblade,TFT_Item_StatikkShiv,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
6,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Galio,4,2,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_Redemption,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
7,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Irelia,6,2,TFT_Item_InfinityEdge,TFT_Item_GuinsoosRageblade,TFT_Item_PowerGauntlet,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
8,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_WuKong,6,2,TFT_Item_GargoyleStoneplate,TFT_Item_SteraksGage,TFT_Item_SpearOfShojin,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
9,Taldcngj8_ND-ir5az80l1GGta3BbidtXemIVhhHjBqvlmgVfz3_nrnX8dRbqh0h0H7sWrpDx6_3hw,americas,na1,PLATINUM,3,TFT11_Kayle,9,3,TFT11_Storyweaver7_AS,TFT11_Storyweaver5_AS,TFT11_Storyweaver3_AS,TFT9_Augment_WhatDoesntKillYou,TFT9_Augment_RedBuff,TFT10_Augment_LittleBuddies
10,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Ahri,0,1,,,,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
11,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Neeko,1,1,,,,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
12,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Amumu,2,2,TFT_Item_GargoyleStoneplate,TFT_Item_Morellonomicon,TFT_Item_BrambleVest,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
13,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Thresh,2,2,TFT4_Item_OrnnRanduinsSanctum,,,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
14,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Illaoi,2,2,,,,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
15,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Ornn,4,2,,,,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
16,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Syndra,4,2,TFT_Item_BlueBuff,TFT_Item_JeweledGauntlet,TFT_Item_HextechGunblade,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
17,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Hwei,6,1,,,,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
18,H9sAMSHpnb2k71JjzyaJMPXCVe0banCXGXAgPK_aeB443rfqckbwdLnaED_SvvkzKjwgIJSAUvSaEA,americas,na1,PLATINUM,7,TFT11_Azir,6,2,TFT_Item_SpearOfShojin,,,TFT9_Augment_LearningFromExperience2,TFT11_Augment_FineVintage,TFT6_Augment_Diversify2
19,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_Malphite,0,2,TFT5_Item_ZzRotPortalRadiant,,,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
20,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_KhaZix,0,2,,,,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
21,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_Kindred,1,2,,,,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
22,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_Yorick,1,2,TFT_Item_ChainVest,,,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
23,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_Alune,2,3,TFT_Item_Morellonomicon,TFT_Item_GuinsoosRageblade,TFT_Item_AdaptiveHelm,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
24,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_Yone,2,3,TFT_Item_Bloodthirster,TFT_Item_UnstableConcoction,TFT_Item_TitansResolve,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
25,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_Kayn,4,3,TFT_Item_LastWhisper,TFT_Item_UnstableConcoction,TFT_Item_HextechGunblade,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
26,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_Sylas,4,2,TFT_Item_IonicSpark,TFT_Item_TitansResolve,,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
27,oUgE66Gg4Boa48kqUriWWHsZtm68XL-T1uXNdvureP5r-4962u-Tjtg-EUBRE5OHGoCjE1WgXfY8-A,americas,na1,PLATINUM,2,TFT11_Sett,6,1,,,,TFT11_Augment_Umbral,TFT9_Augment_Harmacist1,TFT11_Augment_Reaper
28,IA14GGh_rZPUJdx82mo8WhJwndRcHAeHNF0hJsJ01QLRub95TufYu80yUf2fb0_Gmkkd7aGiqyF-qA,americas,na1,PLATINUM,4,TFT11_Darius,0,2,,,,TFT11_Augment_DuelistCrest,TFT9_Augment_Commander_RollingForDays,TFT9_Augment_YouHaveMySword
29,IA14GGh_rZPUJdx82mo8WhJwndRcHAeHNF0hJsJ01QLRub95TufYu80yUf2fb0_Gmkkd7aGiqyF-qA,americas,na1,PLATINUM,4,TFT11_Yasuo,0,2,TFT_Item_GiantsBelt,,,TFT11_Augment_DuelistCrest,TFT9_Augment_Commander_RollingForDays,TFT9_Augment_YouHaveMySword
30,IA14GGh_rZPUJdx82mo8WhJwndRcHAeHNF0hJsJ01QLRub95TufYu80yUf2fb0_Gmkkd7aGiqyF-qA,americas,na1,PLATINUM,4,TFT11_Qiyana,1,2,,,,TFT11_Augment_DuelistCrest,TFT9_Augment_Commander_RollingForDays,TFT9_Augment_YouHaveMySword
31,IA14GGh_rZPUJdx82mo8WhJwndRcHAeHNF0hJsJ01QLRub95TufYu80yUf2fb0_Gmkkd7aGiqyF-qA,americas,na1,PLATINUM,4,TFT11_Volibear,2,2,TFT_Item_LocketOfTheIronSolari,TFT_Item_SpectralGauntlet,,TFT11_Augment_DuelistCrest,TFT9_Augment_Commander_RollingForDays,TFT9_Augment_YouHaveMySword
32,IA14GGh_rZPUJdx82mo8WhJwndRcHAeHNF0hJsJ01QLRub95TufYu80yUf2fb0_Gmkkd7aGiqyF-qA,americas,na1,PLATINUM,4,TFT11_Tristana,2,2,,,,TFT11_Augment_DuelistCrest,TFT9_Augment_Commander_RollingForDays,TFT9_Augment_YouHaveMySword
33,IA14GGh_rZPUJdx82mo8WhJwndRcHAeHNF0hJsJ01QLRub95TufYu80yUf2fb0_Gmkkd7aGiqyF-qA,americas,na1,PLATINUM,4,TFT11_LeeSin,4,2,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor,TFT_Item_UnstableConcoction,TFT11_Augment_DuelistCrest,TFT9_Augment_Commander_RollingForDays,TFT9_Augment_YouHaveMySword
34,IA14GGh_rZPUJdx82mo8WhJwndRcHAeHNF0hJsJ01QLRub95TufYu80yUf2fb0_Gmkkd7aGiqyF-qA,americas,na1,PLATINUM,4,TFT11_Sett,6,2,TFT11_Item_ChallengerEmblemItem,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,TFT11_Augment_DuelistCrest,TFT9_Augment_Commander_RollingForDays,TFT9_Augment_YouHaveMySword
35,IA14GGh_rZPUJdx82mo8WhJwndRcHAeHNF0hJsJ01QLRub95TufYu80yUf2fb0_Gmkkd7aGiqyF-qA,americas,na1,PLATINUM,4,TFT11_Irelia,6,2,TFT_Item_GuinsoosRageblade,TFT_Item_MadredsBloodrazor,TFT_Item_InfinityEdge,TFT11_Augment_DuelistCrest,TFT9_Augment_Commander_RollingForDays,TFT9_Augment_YouHaveMySword
36,iw2UUmqheSNAuOkTOD5s1CmkO-AzAl9pbYSl7p7YlQBQBu_LVV8NAn82opPdZku26O0Cd8qlnCWS9g,americas,na1,PLATINUM,8,TFT11_Jax,0,2,,,,TFT11_Augment_WanderingTrainerGold,TFT11_Augment_BloodBank,TFT9_Augment_StationarySupport2
37,iw2UUmqheSNAuOkTOD5s1CmkO-AzAl9pbYSl7p7YlQBQBu_LVV8NAn82opPdZku26O0Cd8qlnCWS9g,americas,na1,PLATINUM,8,TFT11_Aatrox,1,2,TFT11_Item_InkshadowHorse,TFT_Item_BrambleVest,,TFT11_Augment_WanderingTrainerGold,TFT11_Augment_BloodBank,TFT9_Augment_StationarySupport2
38,iw2UUmqheSNAuOkTOD5s1CmkO-AzAl9pbYSl7p7YlQBQBu_LVV8NAn82opPdZku26O0Cd8qlnCWS9g,americas,na1,PLATINUM,8,TFT11_Senna,1,2,TFT_Item_ZekesHerald,,,TFT11_Augment_WanderingTrainerGold,TFT11_Augment_BloodBank,TFT9_Augment_StationarySupport2
39,iw2UUmqheSNAuOkTOD5s1CmkO-AzAl9pbYSl7p7YlQBQBu_LVV8NAn82opPdZku26O0Cd8qlnCWS9g,americas,na1,PLATINUM,8,TFT11_Teemo,1,2,,,,TFT11_Augment_WanderingTrainerGold,TFT11_Augment_BloodBank,TFT9_Augment_StationarySupport2
40,iw2UUmqheSNAuOkTOD5s1CmkO-AzAl9pbYSl7p7YlQBQBu_LVV8NAn82opPdZku26O0Cd8qlnCWS9g,americas,na1,PLATINUM,8,TFT11_Bard,2,2,TFT11_Item_InkshadowRat,TFT_Item_HextechGunblade,TFT_Item_GuinsoosRageblade,TFT11_Augment_WanderingTrainerGold,TFT11_Augment_BloodBank,TFT9_Augment_StationarySupport2
41,iw2UUmqheSNAuOkTOD5s1CmkO-AzAl9pbYSl7p7YlQBQBu_LVV8NAn82opPdZku26O0Cd8qlnCWS9g,americas,na1,PLATINUM,8,TFT11_Volibear,2,1,,,,TFT11_Augment_WanderingTrainerGold,TFT11_Augment_BloodBank,TFT9_Augment_StationarySupport2
42,iw2UUmqheSNAuOkTOD5s1CmkO-AzAl9pbYSl7p7YlQBQBu_LVV8NAn82opPdZku26O0Cd8qlnCWS9g,americas,na1,PLATINUM,8,TFT11_Kaisa,4,1,TFT11_Item_InkshadowTiger,TFT_Item_MadredsBloodrazor,,TFT11_Augment_WanderingTrainerGold,TFT11_Augment_BloodBank,TFT9_Augment_StationarySupport2
43,iw2UUmqheSNAuOkTOD5s1CmkO-AzAl9pbYSl7p7YlQBQBu_LVV8NAn82opPdZku26O0Cd8qlnCWS9g,americas,na1,PLATINUM,8,TFT11_Udyr,6,1,TFT_Item_Redemption,TFT11_Item_InkshadowOx,TFT_Item_NightHarvester,TFT11_Augment_WanderingTrainerGold,TFT11_Augment_BloodBank,TFT9_Augment_StationarySupport2
44,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Ahri,0,1,,,,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
45,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Amumu,2,2,TFT_Item_RedBuff,,,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
46,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Thresh,2,2,TFT_Item_GargoyleStoneplate,TFT_Item_AdaptiveHelm,TFT_Item_WarmogsArmor,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
47,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Illaoi,2,1,,,,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
48,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Morgana,4,2,TFT4_Item_OrnnObsidianCleaver,,,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
49,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Ornn,4,1,,,,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
50,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Nautilus,4,1,,,,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
51,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Syndra,4,2,TFT_Item_HextechGunblade,TFT_Item_SpearOfShojin,TFT_Item_PowerGauntlet,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
52,G11SS2Efa1ob3QDD8LNps-uwmIeYH4ddb3abEmnodwi602wOH3DLLvGA1LrqvJZ64ZsJBmkOBsms7w,americas,na1,PLATINUM,6,TFT11_Lissandra,6,1,TFT_Item_MadredsBloodrazor,TFT_Item_MadredsBloodrazor,,TFT9_Augment_LongDistanceRelationship2,TFT6_Augment_TriForce1,TFT11_Augment_Arcanist
53,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_Qiyana,1,2,,,,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
54,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_Tristana,2,2,TFT_Item_InfinityEdge,TFT_Item_UnstableConcoction,TFT_Item_MadredsBloodrazor,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
55,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_Galio,4,1,TFT_Item_SpectralGauntlet,TFT_Item_GargoyleStoneplate,TFT_Item_Crownguard,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
56,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_Kaisa,4,2,TFT_Item_MadredsBloodrazor,TFT_Item_HextechGunblade,,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
57,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_LeeSin,4,2,TFT_Item_Bloodthirster,TFT_Item_WarmogsArmor,TFT_Item_SpectralGauntlet,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
58,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_Sylas,4,1,,,,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
59,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_Irelia,6,1,TFT_Item_BansheesVeil,,,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
60,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_Udyr,6,1,,,,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
61,HO184B72R4-DX3ET4Wu2TmHkFGLjjwK8XtP6HfRudNFhrJzmUbUL-La-2LSRC3SNvBVZn8BvG9ymiQ,americas,na1,PLATINUM,5,TFT11_WuKong,6,1,,,,TFT11_Augment_Prizefighter,TFT6_Augment_Distancing,TFT9_Augment_KnowYourEnemy
62,ae26uxQouks54fdBSEPDKMh-ntdxubMq8xLE7jL0_nDrcocCzYEa_3maEaF_mc1BMMazed0MLfANsw,americas,na1,PLATINUM,1,TFT11_Amumu,2,2,TFT_Item_AegisOfTheLegion,TFT_Item_AegisOfTheLegion,TFT_Item_AegisOfTheLegion,TFT9_Augment_StationarySupport2,TFT11_Augment_FineVintage,TFT9_Augment_KnowYourEnemy
