,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,WO2y8G2Uo0TDDFIuSaqAXX_sHMgGpvbhwkbC-HhbkeQOktm9YhZQtbCiSILiAsv0v2Odn5ZgBbqFJA,sea,oc1,PLATINUM,7,TFT11_Darius,0,2,TFT_Item_UnstableConcoction,,,TFT6_Augment_TradeSector,TFT10_Augment_HeroicGrabBag,TFT9_Augment_PandorasItems2
1,WO2y8G2Uo0TDDFIuSaqAXX_sHMgGpvbhwkbC-HhbkeQOktm9YhZQtbCiSILiAsv0v2Odn5ZgBbqFJA,sea,oc1,PLATINUM,7,TFT11_Yorick,1,2,TFT_Item_WarmogsArmor,,,TFT6_Augment_TradeSector,TFT10_Augment_HeroicGrabBag,TFT9_Augment_PandorasItems2
2,WO2y8G2Uo0TDDFIuSaqAXX_sHMgGpvbhwkbC-HhbkeQOktm9YhZQtbCiSILiAsv0v2Odn5ZgBbqFJA,sea,oc1,PLATINUM,7,TFT11_Alune,2,3,TFT_Item_Morellonomicon,TFT_Item_SpearOfShojin,TFT_Item_Leviathan,TFT6_Augment_TradeSector,TFT10_Augment_HeroicGrabBag,TFT9_Augment_PandorasItems2
3,WO2y8G2Uo0TDDFIuSaqAXX_sHMgGpvbhwkbC-HhbkeQOktm9YhZQtbCiSILiAsv0v2Odn5ZgBbqFJA,sea,oc1,PLATINUM,7,TFT11_Yone,2,3,TFT7_Item_ShimmerscaleGamblersBlade,TFT_Item_InfinityEdge,TFT_Item_Bloodthirster,TFT6_Augment_TradeSector,TFT10_Augment_HeroicGrabBag,TFT9_Augment_PandorasItems2
4,WO2y8G2Uo0TDDFIuSaqAXX_sHMgGpvbhwkbC-HhbkeQOktm9YhZQtbCiSILiAsv0v2Odn5ZgBbqFJA,sea,oc1,PLATINUM,7,TFT11_Annie,4,1,,,,TFT6_Augment_TradeSector,TFT10_Augment_HeroicGrabBag,TFT9_Augment_PandorasItems2
5,WO2y8G2Uo0TDDFIuSaqAXX_sHMgGpvbhwkbC-HhbkeQOktm9YhZQtbCiSILiAsv0v2Odn5ZgBbqFJA,sea,oc1,PLATINUM,7,TFT11_Kayn,4,2,,,,TFT6_Augment_TradeSector,TFT10_Augment_HeroicGrabBag,TFT9_Augment_PandorasItems2
6,WO2y8G2Uo0TDDFIuSaqAXX_sHMgGpvbhwkbC-HhbkeQOktm9YhZQtbCiSILiAsv0v2Odn5ZgBbqFJA,sea,oc1,PLATINUM,7,TFT11_Ornn,4,2,,,,TFT6_Augment_TradeSector,TFT10_Augment_HeroicGrabBag,TFT9_Augment_PandorasItems2
7,WO2y8G2Uo0TDDFIuSaqAXX_sHMgGpvbhwkbC-HhbkeQOktm9YhZQtbCiSILiAsv0v2Odn5ZgBbqFJA,sea,oc1,PLATINUM,7,TFT11_Sylas,4,2,TFT_Item_BrambleVest,TFT_Item_ArchangelsStaff,TFT_Item_GargoyleStoneplate,TFT6_Augment_TradeSector,TFT10_Augment_HeroicGrabBag,TFT9_Augment_PandorasItems2
8,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_Caitlyn,0,3,,,,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
9,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_ChoGath,0,3,TFT_Item_DragonsClaw,,,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
10,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_Malphite,0,3,TFT11_Item_MythicEmblemItem,,,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
11,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_KogMaw,0,3,TFT_Item_BlueBuff,TFT5_Item_JeweledGauntletRadiant,TFT9_Item_OrnnDeathfireGrasp,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
12,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_Neeko,1,3,TFT_Item_GargoyleStoneplate,TFT_Item_SteraksGage,TFT_Item_Crownguard,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
13,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_Lillia,4,2,,,,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
14,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_Nautilus,4,2,TFT_Item_GiantsBelt,,,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
15,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_Hwei,6,2,TFT_Item_RabadonsDeathcap,TFT_Item_RapidFireCannon,TFT_Item_SpearOfShojin,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
16,o6PRf7cYhp8qEd5GC8qRwsJlXL3lHYiwCYsoXFFVYggUkuEI4z-FVDnFPp3aMp1jZkwQyx6mYGrUYw,sea,oc1,PLATINUM,2,TFT11_WuKong,6,2,TFT_Item_UnstableConcoction,,,TFT6_Augment_TradeSector,TFT11_Augment_Mythic,TFT11_Augment_MythicCrest
17,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Gnar,1,2,,,,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
18,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Amumu,2,2,,,,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
19,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Aphelios,2,2,TFT_Item_Morellonomicon,TFT_Item_RecurveBow,,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
20,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Illaoi,2,2,,,,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
21,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Ashe,4,2,TFT4_Item_OrnnTheCollector,TFT5_Item_DeathbladeRadiant,TFT_Item_GuinsoosRageblade,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
22,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Kayn,4,2,TFT11_Item_WardenEmblemItem,TFT_Item_InfinityEdge,TFT_Item_UnstableConcoction,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
23,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Nautilus,4,2,TFT_Item_Redemption,TFT_Item_DragonsClaw,TFT_Item_SpectralGauntlet,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
24,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Syndra,4,2,,,,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
25,LmUo8zV4kOdqsLW63vHY-bRZODxH8AsQEidNj-GoLXBV7ozdXq9cadEcuU4VUBxp1lyYR6wuNqMBVw,sea,oc1,PLATINUM,4,TFT11_Sett,6,2,TFT_Item_Bloodthirster,TFT_Item_SteraksGage,TFT_Item_HextechGunblade,TFT9_Augment_ACutAbove,TFT11_Augment_WardenCrest,TFT11_Augment_Warden
26,UtjX2KL4I62sUgSnFss5Bwp_IAjjOEw5v3SJDlxd0_SgR4NQGmaGAnv3iyJG3w4qOxwpTw2fe0NJ6A,sea,oc1,PLATINUM,5,TFT11_Darius,0,2,,,,TFT9_Augment_StarsAreBorn,TFT9_Augment_JeweledLotus,TFT10_Augment_HeroicGrabBag
27,UtjX2KL4I62sUgSnFss5Bwp_IAjjOEw5v3SJDlxd0_SgR4NQGmaGAnv3iyJG3w4qOxwpTw2fe0NJ6A,sea,oc1,PLATINUM,5,TFT11_Ahri,0,3,TFT7_Item_ShimmerscaleGamblersBlade,TFT_Item_Morellonomicon,TFT_Item_MadredsBloodrazor,TFT9_Augment_StarsAreBorn,TFT9_Augment_JeweledLotus,TFT10_Augment_HeroicGrabBag
28,UtjX2KL4I62sUgSnFss5Bwp_IAjjOEw5v3SJDlxd0_SgR4NQGmaGAnv3iyJG3w4qOxwpTw2fe0NJ6A,sea,oc1,PLATINUM,5,TFT11_Yasuo,0,3,TFT_Item_TitansResolve,TFT_Item_GargoyleStoneplate,TFT_Item_GargoyleStoneplate,TFT9_Augment_StarsAreBorn,TFT9_Augment_JeweledLotus,TFT10_Augment_HeroicGrabBag
29,UtjX2KL4I62sUgSnFss5Bwp_IAjjOEw5v3SJDlxd0_SgR4NQGmaGAnv3iyJG3w4qOxwpTw2fe0NJ6A,sea,oc1,PLATINUM,5,TFT11_Lux,1,2,,,,TFT9_Augment_StarsAreBorn,TFT9_Augment_JeweledLotus,TFT10_Augment_HeroicGrabBag
30,UtjX2KL4I62sUgSnFss5Bwp_IAjjOEw5v3SJDlxd0_SgR4NQGmaGAnv3iyJG3w4qOxwpTw2fe0NJ6A,sea,oc1,PLATINUM,5,TFT11_Kindred,1,1,,,,TFT9_Augment_StarsAreBorn,TFT9_Augment_JeweledLotus,TFT10_Augment_HeroicGrabBag
31,UtjX2KL4I62sUgSnFss5Bwp_IAjjOEw5v3SJDlxd0_SgR4NQGmaGAnv3iyJG3w4qOxwpTw2fe0NJ6A,sea,oc1,PLATINUM,5,TFT11_Aphelios,2,1,,,,TFT9_Augment_StarsAreBorn,TFT9_Augment_JeweledLotus,TFT10_Augment_HeroicGrabBag
