,puuid,bigger_region,region,tier,placement,champion_name,champion_rarity,champion_tier,item_1,item_2,item_3,augment_1,augment_2,augment_3
0,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_Caitlyn,0,2,TFT_Item_BFSword,TFT_Item_RapidFireCannon,,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
1,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_RekSai,0,2,TFT_Item_Redemption,TFT_Item_WarmogsArmor,TFT_Item_GargoyleStoneplate,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
2,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_Jax,0,2,TFT_Item_Redemption,,,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
3,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_Aatrox,1,2,,,,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
4,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_Janna,1,1,,,,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
5,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_Senna,1,3,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT_Item_GuinsoosRageblade,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
6,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_Gnar,1,3,TFT_Item_TitansResolve,TFT_Item_Bloodthirster,TFT11_Item_InkshadowHorse,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
7,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_Ornn,4,2,TFT_Item_GargoyleStoneplate,,,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
8,NStxQmBvy2aGjaa8ly6OKCD3s5te3Ht6c6jVmEaTQ1cpzQqOZ6XOcMgN1RP3TeuzMlGSz6qNkU31tQ,europe,ru,PLATINUM,2,TFT11_Azir,6,1,TFT_Item_BlueBuff,TFT_Item_RabadonsDeathcap,TFT_Item_JeweledGauntlet,TFT9_Augment_YouHaveMySword,TFT9_Augment_TwoHealthy,TFT9_Augment_BigGrabBag
9,f8u8_xO2hGB3xxNR7IQEEPQ6zqTGfWlt5MLHSN36Dqu0VkuiG3JvFni-nO1tEp9-2rLYNFJYd3EEEA,europe,ru,PLATINUM,6,TFT11_ChoGath,0,2,,,,TFT10_Augment_LuckyStreak,TFT10_Augment_HeroicGrabBag,TFT11_Augment_MythicCrest
